"2028 璓 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"62,579,745","1,519,345,943","15,025",29.00,12/31,20.30,12/13,24.47
86,"1,122,764,165","35,091,356,559","181,081",43.30,12/29,22.20,11/18,30.22
87,"1,970,861,392","51,282,315,966","358,695",47.50,1/21,12.65,12/31,22.97
88,"575,686,296","5,656,500,261","93,930",12.90,4/06,5.40,12/27,8.60
89,"403,800,624","2,576,221,771","59,970",11.05,2/22,1.15,12/29,4.54
90,"142,862,289","234,864,790","16,792",2.93,2/21,0.70,12/05,1.38
91,"898,565,458","3,621,099,639","102,854",7.50,4/09,1.01,1/03,3.38
92,"1,855,651,195","10,075,923,822","239,830",7.15,2/07,2.95,5/09,4.99
93,"1,267,821,147","12,666,443,611","210,919",13.00,3/05,6.15,5/18,9.00
94,"308,561,480","1,951,573,597","55,723",9.40,1/19,2.91,10/21,5.59
95,"463,045,807","2,590,642,743","69,484",8.27,12/28,3.60,1/05,4.93
96,"451,693,371","4,055,242,011","92,526",10.35,4/16,7.63,8/17,8.74
97,"1,006,907,065","13,589,423,000","210,526",24.30,5/05,3.99,10/30,10.92
98,"1,321,738,019","9,789,167,064","242,242",11.50,12/31,4.20,3/03,7.15
99,"413,846,771","4,042,919,571","99,849",12.55,1/12,6.81,5/26,8.93
100,"271,834,434","2,374,647,164","63,954",11.05,4/28,4.50,11/24,7.70
101,"75,905,072","428,265,312","20,762",7.12,2/21,4.10,11/06,5.12
102,"89,744,201","478,281,616","24,289",6.25,1/10,4.11,11/20,5.04
程蔼基,ら戳,程基,ら戳
47.50, 87/1/21,0.70, 90/12/05
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
