"2034 す眏 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"1,954,238","13,789,418","1,010",8.40,12/18,6.35,12/05,7.00
91,"152,052,487","2,061,657,547","36,717",17.70,6/13,6.00,1/23,12.01
92,"1,140,625,682","25,076,269,464","285,197",31.00,2/26,11.80,1/02,20.73
93,"1,550,756,379","56,648,420,764","432,546",52.00,3/10,22.80,1/02,35.27
94,"466,482,721","11,643,418,880","148,437",35.80,1/03,14.05,12/02,23.80
95,"1,460,536,008","48,200,826,519","437,963",44.20,12/27,15.70,1/03,29.42
96,"1,227,195,252","58,868,182,689","434,736",61.00,4/16,28.00,12/21,46.59
97,"429,898,894","11,873,137,704","164,806",39.50,3/04,9.30,10/28,24.20
98,"1,092,984,812","25,219,842,255","344,090",32.50,8/04,11.65,3/03,22.03
99,"542,120,199","13,586,814,880","190,288",30.80,4/16,19.80,6/07,23.84
100,"335,400,854","7,768,333,700","116,808",27.85,2/09,14.80,12/20,21.21
101,"127,683,350","2,217,623,947","49,380",20.20,2/20,14.80,7/27,16.76
102,"249,927,020","4,911,154,213","93,413",23.75,12/30,15.70,4/19,18.12
程蔼基,ら戳,程基,ら戳
61.00, 96/4/16,6.00, 91/1/23
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
