"2102 伦 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,405,499,017","129,012,880,930","538,680",134.00,2/22,42.20,1/17,89.36
81,"2,026,900,501","231,037,489,135","653,633",166.00,6/23,57.50,12/29,98.24
82,"1,398,797,273","108,050,456,113","519,480",96.00,4/03,48.40,1/08,74.38
83,"1,173,044,014","91,366,279,804","369,451",106.00,2/19,53.00,10/11,73.02
84,"1,005,428,090","50,943,002,956","269,485",81.00,1/05,36.10,8/09,52.93
85,"888,870,645","49,793,579,600","244,624",66.50,12/05,41.20,2/07,54.37
86,"1,501,103,853","115,550,485,978","466,217",101.00,6/30,55.00,8/20,73.92
87,"1,170,199,174","99,130,292,189","424,296",116.00,4/01,47.50,12/19,76.31
88,"717,586,823","34,194,486,007","264,038",67.00,4/14,25.00,12/20,44.43
89,"889,948,063","23,028,636,538","235,034",44.70,3/31,6.60,9/19,20.34
90,"444,764,819","4,179,590,393","93,228",12.65,12/31,6.60,7/25,8.61
91,"2,093,385,288","45,525,293,088","457,574",27.80,11/15,12.65,1/02,20.32
92,"1,682,131,096","45,758,514,598","406,245",33.40,11/06,18.60,4/28,26.32
93,"830,479,780","23,515,517,469","213,557",35.70,2/18,18.60,8/09,23.96
94,"290,886,444","5,354,801,045","83,517",22.40,3/07,12.60,10/21,17.48
95,"1,411,391,611","31,873,417,782","342,163",28.55,5/10,13.40,3/24,19.76
96,"773,636,928","18,678,793,482","217,391",28.40,7/19,15.45,12/21,22.59
97,"705,878,222","14,428,793,251","204,535",27.20,4/18,9.14,10/28,16.83
98,"1,141,178,723","22,304,052,267","301,319",29.00,10/19,9.29,3/03,16.91
99,"740,051,458","16,879,345,924","223,945",29.70,1/18,17.75,5/26,21.40
100,"412,644,281","8,181,452,115","136,736",24.45,1/04,12.90,12/19,17.93
101,"514,601,487","10,285,369,534","175,395",24.65,10/02,13.60,1/13,17.65
102,"777,801,304","17,575,011,746","251,388",24.75,8/05,19.10,4/16,22.04
程蔼基,ら戳,程基,ら戳
166.00, 81/6/23,6.60, 90/7/25
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
