"2104 い倔 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"485,574,913","26,079,779,900","158,764",74.00,4/20,27.10,1/17,51.52
81,"386,316,571","18,675,218,528","119,585",66.00,6/16,32.70,9/18,45.20
82,"632,378,638","24,551,714,806","128,773",49.70,12/31,30.30,8/04,35.98
83,"1,243,416,867","56,131,676,734","253,753",54.00,12/31,36.90,10/11,43.46
84,"716,406,760","32,112,508,223","158,823",53.50,1/05,38.50,8/05,43.88
85,"547,668,808","23,129,670,858","122,558",48.50,6/29,38.30,1/29,41.54
86,"782,815,199","34,952,732,222","185,098",56.50,4/17,29.00,10/28,40.52
87,"791,984,581","43,621,223,907","229,574",103.50,6/26,30.00,1/12,50.34
88,"412,664,396","17,956,934,686","135,999",70.50,4/06,23.70,11/29,44.19
89,"2,031,429,812","74,725,338,398","573,535",52.50,5/18,12.05,11/23,30.99
90,"1,189,930,212","18,430,820,336","303,485",21.90,3/13,7.90,7/19,13.11
91,"1,107,234,297","13,056,107,460","209,452",14.00,3/27,8.20,10/11,11.11
92,"1,493,945,700","18,160,914,398","258,072",15.30,1/16,8.25,5/02,11.06
93,"1,201,657,483","14,382,404,550","195,443",14.10,2/11,9.15,6/21,11.20
94,"721,878,394","8,586,220,569","121,683",13.00,9/27,10.40,6/01,11.64
95,"2,441,064,548","66,750,243,313","561,405",42.20,12/29,12.10,1/04,23.33
96,"1,580,795,997","63,487,415,829","461,767",54.50,7/18,29.40,12/21,38.09
97,"811,738,033","28,463,721,118","280,084",47.00,4/28,21.65,9/18,34.74
98,"1,353,133,289","44,783,403,658","467,143",38.00,4/10,27.05,2/05,32.44
99,"640,800,058","20,371,512,245","212,600",35.50,1/12,27.80,2/06,31.14
100,"644,114,982","18,976,213,911","202,999",33.35,8/17,22.00,10/04,28.49
101,"370,057,788","11,244,896,173","133,588",34.10,12/24,26.25,1/13,29.49
102,"335,766,975","10,398,967,398","137,133",33.40,2/27,26.30,11/15,30.32
程蔼基,ら戳,程基,ら戳
103.50, 87/6/26,7.90, 90/7/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
