"2105 タ穝 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"635,967,268","31,234,148,049","214,455",63.00,5/10,28.60,1/17,48.21
81,"358,797,479","20,646,602,812","122,204",69.50,6/13,40.30,12/24,53.79
82,"317,257,076","14,681,450,027","85,679",55.00,12/31,33.30,8/10,41.68
83,"531,570,346","21,639,375,180","135,286",56.50,1/05,32.00,10/11,40.50
84,"348,967,264","11,461,316,203","88,550",43.30,1/05,26.00,8/05,32.28
85,"912,053,916","36,540,846,646","216,654",48.70,6/29,28.10,1/06,37.99
86,"2,092,279,153","113,053,439,864","591,808",75.00,8/26,37.40,5/12,50.51
87,"1,534,140,193","73,377,035,051","424,222",61.00,7/09,34.40,9/04,45.62
88,"790,178,978","27,828,557,709","232,992",41.10,4/23,26.10,12/27,33.17
89,"1,345,436,428","32,462,152,665","351,687",34.20,2/21,17.70,9/01,24.31
90,"1,680,928,605","37,036,295,748","379,751",26.20,3/23,15.30,7/25,20.81
91,"3,267,980,916","113,240,788,390","738,653",48.40,12/19,21.10,1/15,33.45
92,"1,667,004,117","75,177,036,197","394,820",50.50,10/16,37.70,4/25,44.70
93,"962,868,049","43,464,365,698","260,485",55.00,3/19,37.20,11/17,43.31
94,"428,777,350","13,729,679,446","136,328",40.80,1/03,21.15,11/08,32.94
95,"1,150,338,997","33,999,965,271","294,489",37.55,10/14,22.40,4/04,28.41
96,"2,068,806,666","103,266,147,110","575,577",75.40,10/03,28.50,3/14,46.26
97,"1,625,398,083","76,801,698,356","570,812",64.00,3/25,26.25,11/24,45.54
98,"2,450,041,715","135,353,310,587","827,480",76.50,11/25,22.50,1/21,53.32
99,"1,988,970,854","136,269,922,647","763,736",84.60,8/02,57.70,2/06,67.62
100,"1,659,629,451","116,854,918,940","691,335",90.80,7/18,58.20,9/26,70.33
101,"1,556,187,912","113,414,228,024","594,193",81.80,8/01,64.50,1/02,72.70
102,"1,747,499,621","148,502,443,943","748,473",103.00,4/22,72.70,11/11,83.92
程蔼基,ら戳,程基,ら戳
103.00, 102/4/22,15.30, 90/7/25
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
