"2106  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"163,194,600","9,790,824,240","82,224",78.50,5/01,40.20,1/17,57.80
81,"127,428,762","6,343,421,383","50,372",63.50,6/15,31.70,9/18,47.14
82,"213,378,744","8,879,571,931","58,789",51.50,4/07,26.80,1/08,39.63
83,"199,050,876","8,198,359,801","56,131",50.00,1/11,32.30,10/11,38.56
84,"124,312,414","4,424,274,802","36,133",46.60,1/05,24.30,8/07,33.13
85,"448,059,064","18,470,399,190","118,114",49.00,10/05,25.00,1/06,38.82
86,"826,462,176","46,894,958,095","248,749",77.00,8/26,38.50,5/15,52.97
87,"518,736,408","25,692,906,201","166,100",62.00,4/04,38.80,9/01,47.91
88,"364,834,714","13,628,298,381","123,836",48.90,7/03,26.10,12/21,34.48
89,"593,184,926","12,933,518,571","172,940",35.80,2/21,10.00,12/29,22.67
90,"601,891,866","7,977,018,582","143,094",17.00,3/01,8.55,9/14,11.74
91,"1,592,052,061","42,347,140,212","391,520",45.30,11/13,9.50,1/17,25.35
92,"771,337,742","26,779,891,289","237,062",41.50,1/21,26.10,5/02,32.98
93,"606,792,101","17,935,342,471","181,287",37.80,3/19,20.00,5/18,26.89
94,"188,176,239","3,755,335,108","66,816",26.30,1/03,13.15,10/20,20.02
95,"538,404,227","9,483,520,650","151,930",22.50,12/12,12.05,3/24,15.53
96,"974,640,921","28,193,198,013","304,253",40.30,7/26,16.75,3/05,25.96
97,"520,084,183","11,514,021,805","199,682",29.90,4/14,11.30,10/28,20.43
98,"985,001,253","33,901,579,221","354,709",49.70,7/22,12.25,1/21,31.60
99,"521,773,191","17,707,714,950","210,365",39.20,7/29,28.05,5/25,32.92
100,"839,852,950","31,299,238,590","336,731",45.50,7/20,29.40,12/19,35.89
101,"526,216,492","18,765,737,175","203,937",39.25,7/30,29.80,1/02,35.03
102,"1,079,061,137","64,399,731,182","486,262",80.70,7/12,36.55,1/17,58.84
程蔼基,ら戳,程基,ら戳
80.70, 102/7/12,8.55, 90/9/14
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
