"2107 玴ネ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
81,"1,123,523,386","151,810,353,478","251,621",370.00,9/08,55.00,12/29,122.41
82,"1,207,232,720","89,543,981,720","441,560",99.50,3/08,48.50,1/08,69.05
83,"1,307,350,756","85,458,175,563","436,119",78.00,6/21,45.80,10/11,60.93
84,"1,383,962,791","47,811,558,635","334,365",58.00,1/05,24.80,8/05,38.48
85,"1,533,965,845","53,794,745,523","378,570",41.50,12/13,25.70,2/07,34.32
86,"1,370,131,893","61,328,953,826","373,256",60.00,4/25,31.80,10/17,43.87
87,"2,507,846,383","119,535,548,573","735,192",67.50,4/07,25.80,12/29,41.28
88,"1,073,224,181","29,742,645,962","300,694",34.60,5/06,13.50,12/20,24.72
89,"687,135,005","10,512,173,386","161,511",25.20,2/21,5.70,11/21,12.65
90,"460,619,328","3,597,820,183","89,237",10.80,2/26,4.80,11/09,6.87
91,"1,329,316,959","12,370,343,259","227,756",11.45,6/25,6.35,10/07,8.60
92,"1,441,065,484","13,852,735,441","224,881",11.65,10/22,6.65,4/28,8.81
93,"3,118,646,272","46,034,782,798","521,065",19.10,3/15,9.70,1/02,13.76
94,"2,218,870,259","32,285,708,983","395,392",16.80,1/17,10.80,10/20,13.42
95,"3,586,087,106","63,417,243,957","658,444",24.95,12/11,11.70,1/24,15.53
96,"2,794,194,650","65,210,460,861","666,305",27.40,7/18,14.15,12/18,21.63
97,"1,941,914,889","37,670,643,292","487,261",26.60,4/17,9.09,10/28,17.04
98,"2,684,449,982","56,299,059,183","649,874",29.95,12/29,10.40,3/03,18.87
99,"1,951,267,030","53,537,640,081","569,981",34.20,12/31,20.90,5/26,26.01
100,"891,723,914","24,839,520,200","297,136",34.40,1/03,15.95,12/19,25.62
101,"382,275,987","7,722,152,088","147,399",22.50,3/03,17.60,1/13,19.94
102,"446,326,574","10,991,187,228","169,391",29.25,12/02,20.55,1/17,24.33
程蔼基,ら戳,程基,ら戳
370.00, 81/9/08,4.80, 90/11/09
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
