"2108 玭 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
81,"29,069,627","1,201,367,125","12,592",52.00,10/27,31.00,12/29,38.96
82,"331,090,332","14,233,225,400","92,349",50.50,12/31,26.50,1/08,42.17
83,"297,315,502","12,727,515,358","74,869",52.00,1/05,36.00,11/23,41.08
84,"238,482,370","6,726,997,122","58,907",39.70,1/05,18.40,8/15,28.63
85,"277,342,603","7,175,057,137","72,612",32.00,4/23,21.00,9/05,25.04
86,"603,205,363","17,361,860,348","128,126",41.50,4/10,17.10,10/29,26.45
87,"589,011,174","16,757,950,612","147,500",33.30,7/16,22.00,2/06,27.59
88,"398,722,156","10,479,971,210","105,572",38.00,4/06,13.50,11/08,24.04
89,"257,506,412","3,795,734,004","62,361",20.30,2/21,5.75,11/24,12.83
90,"236,969,492","2,515,812,193","42,427",14.40,12/18,7.20,1/02,9.73
91,"872,682,930","14,307,190,170","178,369",21.10,6/24,11.00,10/11,15.36
92,"296,666,848","4,208,536,659","72,729",17.20,1/16,11.55,9/15,13.04
93,"220,847,121","2,866,836,494","45,972",14.80,3/05,9.20,8/09,11.25
94,"189,269,838","2,448,223,021","37,526",14.85,8/03,10.40,1/31,12.37
95,"274,122,241","4,293,109,758","60,097",21.95,12/26,12.75,3/01,14.80
96,"433,820,406","12,233,700,866","123,705",40.60,9/12,17.90,3/28,26.24
97,"127,937,641","3,531,479,309","45,944",38.45,5/16,15.20,12/05,27.17
98,"470,855,630","10,751,395,486","123,544",26.40,7/24,15.00,3/03,21.80
99,"252,158,746","5,541,651,584","77,201",24.50,1/04,19.70,2/06,21.52
100,"501,967,298","14,127,876,323","186,116",36.90,7/28,21.65,1/03,27.33
101,"155,855,254","3,746,308,498","64,813",27.85,3/20,15.50,11/22,23.58
102,"83,689,234","1,695,534,816","41,740",23.80,10/03,18.35,8/23,19.77
程蔼基,ら戳,程基,ら戳
52.00, 83/1/05,5.75, 89/11/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
