"2206 锭 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"160,028,809","8,074,837,087","36,687",62.50,12/31,39.50,7/30,50.67
86,"196,256,412","12,757,620,230","36,236",72.00,8/06,52.00,11/03,64.11
87,"190,784,095","9,083,898,275","38,560",61.00,1/03,33.80,12/30,46.46
88,"116,024,870","3,588,488,215","27,566",37.50,1/12,21.00,11/05,29.14
89,"45,705,157","888,795,479","13,486",26.80,2/15,9.60,11/20,16.76
90,"31,569,971","256,947,626","9,771",12.60,1/02,4.50,11/06,7.41
91,"1,208,958,573","8,511,155,449","165,433",10.70,11/21,4.50,1/14,5.83
92,"1,800,667,938","12,638,037,502","229,144",9.40,1/17,4.98,4/28,6.71
93,"2,687,641,170","33,979,015,923","417,947",15.80,4/28,7.55,1/02,12.31
94,"935,135,920","12,842,693,352","172,380",15.60,4/20,11.20,9/26,12.96
95,"1,989,458,107","37,382,380,261","397,350",25.10,12/19,11.25,3/24,16.36
96,"2,519,488,071","59,984,127,122","541,415",29.60,7/19,15.80,12/21,22.33
97,"1,620,260,485","27,528,033,916","381,703",24.00,3/05,5.46,11/21,14.18
98,"3,204,669,592","42,511,080,694","651,330",16.20,6/29,6.03,1/21,11.90
99,"2,366,568,955","37,404,944,638","505,541",19.15,12/31,10.35,2/06,14.44
100,"1,810,996,695","33,398,291,600","403,094",22.00,8/01,15.75,10/04,17.65
101,"987,654,527","19,070,054,698","244,109",22.10,10/22,16.10,1/02,18.70
102,"1,296,232,432","39,714,735,281","356,459",55.30,12/04,17.80,1/02,33.93
程蔼基,ら戳,程基,ら戳
72.00, 86/8/06,4.50, 91/1/14
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
