"2207 ㎝ó Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
86,"272,946,430","15,214,764,595","98,072",67.50,3/01,40.00,10/28,51.56
87,"141,324,285","6,453,514,955","44,155",53.50,3/05,33.80,12/31,43.35
88,"41,920,191","1,246,503,365","16,962",36.60,5/10,19.90,12/27,28.13
89,"52,630,806","1,308,224,513","19,475",32.50,7/31,19.00,11/20,23.91
90,"34,775,796","605,154,098","11,402",22.00,3/14,12.50,9/24,16.79
91,"675,888,319","19,247,735,950","188,865",35.30,11/15,14.50,1/02,24.39
92,"283,343,643","9,197,645,267","94,581",40.40,11/12,25.60,4/28,30.98
93,"213,672,628","10,742,213,922","75,209",65.50,12/09,38.50,1/05,51.63
94,"101,167,015","7,535,345,605","48,178",93.70,8/10,60.50,2/22,75.02
95,"118,849,025","8,419,177,109","56,132",84.30,1/12,60.00,9/15,70.74
96,"65,163,396","5,268,322,027","27,073",94.00,7/30,73.00,1/30,81.61
97,"40,949,428","3,278,562,415","24,040",102.50,4/21,44.00,10/30,78.15
98,"77,410,265","4,809,792,576","42,280",85.70,7/24,44.00,3/03,67.07
99,"106,731,985","8,706,435,430","59,594",96.20,9/07,62.80,2/06,81.15
100,"183,619,992","23,339,338,953","113,856",173.50,12/01,80.90,3/15,112.55
101,"216,569,607","43,257,824,691","167,048",261.00,3/16,138.00,1/09,197.70
102,"118,873,893","36,598,967,757","104,839",415.00,7/12,223.00,2/26,300.41
程蔼基,ら戳,程基,ら戳
415.00, 102/7/12,12.50, 90/9/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
