"2227 肝らó Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"19,571,000","1,986,828,500","9,830",103.50,12/30,85.50,12/21,98.06
94,"62,703,040","7,040,303,524","25,421",138.00,8/15,99.80,7/21,114.75
95,"15,691,770","1,712,566,761","8,855",125.00,1/13,88.20,12/21,109.88
96,"61,067,352","3,892,114,291","28,712",98.50,1/05,46.20,8/21,72.84
97,"40,055,498","1,806,206,479","23,049",59.40,3/26,19.35,10/28,38.50
98,"102,086,613","5,879,473,065","52,964",82.60,7/28,20.50,1/21,54.14
99,"147,502,843","16,730,536,077","91,361",171.50,10/06,56.50,2/06,100.51
100,"120,598,446","15,021,422,371","84,886",158.00,8/03,87.60,10/06,122.88
101,"86,263,569","18,791,128,312","64,939",277.50,8/08,123.50,1/09,222.58
102,"63,733,253","19,288,284,384","51,433",449.00,12/20,228.50,1/02,308.58
程蔼基,ら戳,程基,ら戳
449.00, 102/12/20,19.35, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
