"2301 腳 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"921,425,760","39,996,555,546","305,462",61.50,5/06,23.50,1/16,38.96
81,"597,460,695","18,026,068,750","157,917",38.80,3/16,20.60,9/26,29.67
82,"1,167,872,922","38,219,624,253","249,396",48.70,12/31,21.00,1/08,31.64
83,"1,576,522,824","82,032,264,570","373,757",69.00,12/07,36.40,2/25,49.23
84,"1,219,486,264","55,317,560,271","296,440",67.00,1/05,34.20,8/05,46.42
85,"1,540,933,855","62,926,657,569","322,889",52.00,11/22,27.90,7/16,38.08
86,"5,403,843,118","565,210,996,814","1,535,622",174.00,8/26,46.20,1/04,98.08
87,"3,939,950,025","351,643,147,957","1,284,711",128.50,2/26,60.50,10/07,85.19
88,"2,203,976,915","120,396,000,000","766,871",73.50,7/02,38.10,8/03,51.59
89,"2,416,531,795","110,250,501,835","784,625",64.50,2/21,11.15,12/30,41.39
90,"2,883,855,604","57,805,229,916","653,235",28.90,3/30,10.30,9/24,18.60
91,"3,595,469,239","124,260,466,255","906,585",50.50,11/26,22.60,10/08,33.86
92,"5,300,066,946","206,343,815,732","1,286,259",47.10,1/15,30.80,5/02,38.27
93,"3,031,031,431","110,014,150,222","755,865",41.80,3/05,29.00,11/01,34.63
94,"2,138,805,428","79,568,209,588","515,665",46.20,12/29,31.00,4/21,36.32
95,"2,417,673,224","107,821,130,078","656,168",56.80,5/09,38.10,10/12,44.64
96,"2,222,849,609","106,317,604,249","623,570",62.80,7/26,38.50,5/15,47.51
97,"2,031,965,923","65,876,983,403","601,340",56.80,1/02,17.30,10/28,31.79
98,"2,601,157,950","84,943,688,795","837,834",48.90,12/31,19.30,1/20,32.57
99,"1,462,173,894","58,863,097,772","567,058",49.50,1/19,33.50,6/07,40.07
100,"1,193,978,637","40,472,907,548","467,917",41.70,1/17,26.75,10/04,34.26
101,"1,127,391,536","41,661,002,597","476,322",40.25,12/07,33.70,4/23,36.93
102,"1,387,685,761","66,915,164,105","589,894",54.10,5/07,38.00,1/10,48.36
程蔼基,ら戳,程基,ら戳
174.00, 86/8/26,10.30, 90/9/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
