"2312 腳 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"615,435,599","32,432,098,510","232,820",76.50,5/06,26.40,1/17,49.82
81,"424,013,864","15,037,023,603","120,379",58.50,2/14,20.10,9/18,37.37
82,"1,055,084,362","44,417,797,978","230,362",74.50,12/31,25.10,1/08,37.14
83,"786,061,795","55,138,438,206","227,600",84.50,1/06,57.00,6/27,68.19
84,"1,284,017,760","45,249,605,926","330,497",64.00,1/05,25.70,8/30,36.96
85,"1,599,425,574","50,099,217,464","359,794",37.40,5/07,24.00,3/12,29.44
86,"3,514,729,236","171,814,505,416","914,593",76.50,7/15,27.10,10/30,46.78
87,"5,184,142,783","342,185,504,028","1,192,486",107.00,3/17,35.10,1/03,63.85
88,"5,544,390,777","276,982,000,000","1,379,540",76.00,12/27,29.00,8/06,45.15
89,"3,231,454,749","168,658,815,281","1,035,470",83.00,2/09,15.60,12/30,43.96
90,"3,772,730,447","80,824,881,712","876,307",30.90,2/13,12.00,7/26,19.62
91,"4,531,448,442","112,836,603,233","1,042,010",34.70,4/02,16.00,7/02,22.91
92,"2,142,289,234","41,853,884,076","460,750",23.10,8/19,14.60,5/09,18.46
93,"1,354,604,903","24,536,998,484","295,183",21.60,3/08,12.80,11/30,16.33
94,"2,186,074,562","31,285,081,779","438,538",16.80,8/23,11.10,10/20,13.71
95,"1,583,144,272","20,298,667,140","319,458",15.20,1/09,10.60,9/14,12.30
96,"1,834,939,678","23,880,711,751","341,210",15.70,7/16,9.91,12/18,12.51
97,"1,110,904,602","10,458,940,026","224,985",12.15,4/22,5.00,11/21,8.80
98,"2,168,618,219","18,141,939,660","362,585",9.78,12/24,5.50,1/21,7.97
99,"1,800,528,836","18,930,863,320","316,841",12.60,9/21,8.30,5/25,9.76
100,"753,374,904","7,114,912,711","161,133",11.55,1/24,5.67,12/19,8.56
101,"397,050,654","2,819,008,769","98,242",8.89,2/23,5.71,10/30,6.76
102,"2,998,691,772","32,643,898,177","616,371",14.60,11/04,6.39,1/17,9.08
程蔼基,ら戳,程基,ら戳
107.00, 87/3/17,5.00, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
