"2316 罚标筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"283,582,106","19,714,807,034","124,368",104.00,5/07,37.40,2/05,66.59
81,"390,265,032","15,087,118,502","117,026",56.00,2/24,22.40,9/18,40.25
82,"698,851,222","23,270,465,994","176,120",44.00,4/07,23.20,1/08,32.18
83,"1,092,608,911","56,192,148,770","261,169",78.00,8/06,35.90,3/14,51.86
84,"1,199,238,216","69,396,069,924","324,409",73.50,6/26,43.30,8/05,57.26
85,"758,851,265","38,991,067,638","182,415",66.00,11/23,37.20,7/08,50.27
86,"2,823,049,435","248,881,523,232","943,798",143.00,7/17,49.30,10/30,81.39
87,"3,933,063,950","324,960,430,005","1,246,822",112.00,4/01,52.00,1/13,80.18
88,"2,418,582,350","130,064,000,000","830,398",81.00,7/02,33.50,8/09,51.71
89,"3,055,161,868","147,530,632,084","916,641",66.50,4/11,21.80,10/19,46.83
90,"3,203,849,944","84,333,992,150","799,849",45.90,2/16,9.55,10/05,23.13
91,"2,919,393,754","57,757,152,094","667,730",26.20,4/17,13.40,10/08,18.94
92,"2,365,494,433","39,709,312,127","472,581",23.40,11/14,10.20,5/22,15.24
93,"2,499,355,957","48,177,189,183","477,687",24.60,4/26,13.40,11/30,18.21
94,"2,044,958,210","25,904,406,840","380,530",15.90,2/21,7.75,10/28,12.21
95,"1,745,777,559","23,121,722,594","378,523",16.45,4/17,9.80,7/18,12.35
96,"2,332,440,565","33,669,956,454","466,964",17.20,1/23,7.22,12/21,13.04
97,"662,049,027","4,612,101,559","138,146",10.20,5/23,2.73,10/28,6.26
98,"1,600,916,886","13,255,168,985","289,882",12.50,12/25,3.51,2/02,7.73
99,"1,501,978,772","26,703,309,857","352,527",22.55,12/31,9.91,2/06,15.12
100,"731,225,613","13,979,488,952","192,375",22.75,1/14,9.68,12/20,17.54
101,"254,939,183","3,399,179,309","74,687",14.90,3/16,10.30,1/09,13.09
102,"293,140,993","3,750,058,122","80,606",13.95,10/22,11.40,8/28,12.39
程蔼基,ら戳,程基,ら戳
143.00, 86/7/17,2.73, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
