"2338 竛 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"44,914,883","3,295,707,878","21,063",89.00,4/27,50.00,4/17,68.17
85,"78,749,729","5,745,271,039","23,457",103.50,11/25,52.00,7/24,66.81
86,"1,394,661,059","227,924,314,947","556,987",237.00,6/26,91.50,1/23,150.46
87,"1,397,970,374","129,576,833,701","530,241",190.00,2/19,38.70,12/17,101.01
88,"2,068,715,358","78,535,188,268","605,728",49.50,3/23,25.20,10/27,36.87
89,"2,778,710,968","102,323,818,295","785,794",61.00,6/22,10.35,12/30,30.83
90,"3,919,273,273","89,654,111,877","904,094",32.10,4/09,10.45,1/02,20.81
91,"2,799,609,226","74,765,214,180","630,427",35.50,4/03,16.30,10/08,23.78
92,"1,315,132,663","24,490,034,307","265,371",21.50,7/09,14.70,4/28,17.78
93,"907,810,970","16,604,928,130","175,693",20.90,3/05,13.60,7/22,16.75
94,"372,294,812","5,569,385,510","82,154",17.10,2/21,12.80,10/27,14.66
95,"1,440,765,203","27,485,755,896","305,689",25.25,5/22,14.75,1/02,17.81
96,"961,853,968","19,288,147,734","224,153",22.50,7/04,15.50,12/18,19.33
97,"260,801,820","4,078,116,923","72,448",18.60,4/24,6.27,11/21,14.33
98,"253,673,819","2,984,647,370","71,521",14.30,12/31,7.57,1/15,11.02
99,"277,874,248","3,534,814,629","72,642",14.35,3/29,10.30,5/25,12.26
100,"121,893,165","1,420,504,535","37,845",13.55,1/18,9.17,8/09,11.39
101,"78,307,759","831,699,181","24,374",11.65,3/30,9.25,11/01,10.64
102,"97,350,474","989,855,768","31,745",11.15,1/04,9.12,11/21,9.91
程蔼基,ら戳,程基,ら戳
237.00, 86/6/26,6.27, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
