"2345 醇ü Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"30,786,929","1,285,332,659","9,264",46.50,12/29,36.50,11/21,41.41
85,"127,036,573","8,022,786,723","31,925",98.00,12/31,37.00,3/11,55.28
86,"1,372,471,407","137,113,411,482","447,140",145.00,4/07,54.00,10/30,99.56
87,"1,660,018,978","117,011,337,294","491,242",104.50,2/12,38.80,10/28,69.60
88,"2,649,276,830","192,229,000,000","833,491",124.00,12/21,38.00,2/03,65.41
89,"3,074,758,405","231,548,810,330","1,044,412",134.00,3/27,30.80,12/30,73.57
90,"4,057,417,874","201,303,508,519","1,199,398",93.00,12/31,28.70,1/02,49.51
91,"3,175,377,049","205,958,134,477","998,675",110.50,3/07,34.50,12/31,66.28
92,"2,876,587,539","81,811,154,155","749,155",42.90,1/14,20.50,11/03,28.12
93,"1,731,365,502","38,944,369,722","402,799",31.20,3/10,11.95,11/02,20.09
94,"1,766,605,077","27,786,184,104","375,689",20.10,12/27,9.77,10/28,15.04
95,"2,721,673,136","52,288,595,087","636,537",23.25,5/09,14.50,6/21,18.15
96,"2,587,420,554","52,102,062,494","585,552",25.15,1/19,14.70,8/22,19.03
97,"1,106,909,662","11,730,852,832","237,012",17.60,1/15,4.94,10/29,10.48
98,"2,198,974,555","24,289,715,705","411,621",16.05,12/31,6.71,1/21,10.77
99,"2,170,399,155","40,168,704,196","533,258",23.85,10/22,12.10,2/06,17.24
100,"807,059,792","14,318,316,291","252,741",21.60,1/11,12.05,8/09,16.85
101,"719,233,448","12,101,836,150","231,993",19.30,2/20,13.25,10/29,16.29
102,"481,545,851","8,258,733,944","185,221",19.20,7/02,14.80,11/18,16.67
程蔼基,ら戳,程基,ら戳
145.00, 86/4/07,4.94, 97/10/29
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
