"2351 抖紈 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"147,255,273","5,226,042,564","36,070",40.80,12/30,27.10,9/03,33.82
86,"822,408,382","50,903,290,915","256,974",87.00,6/26,36.50,1/04,57.85
87,"562,008,683","26,552,958,657","167,101",66.00,3/02,30.10,12/31,44.40
88,"761,030,024","22,566,868,478","205,011",36.50,9/14,20.30,8/03,28.48
89,"1,108,945,201","40,134,400,546","304,776",55.00,4/11,6.20,12/30,28.16
90,"631,814,739","6,966,256,648","137,535",17.30,3/30,5.20,9/24,9.65
91,"567,267,329","6,955,316,532","119,641",18.20,4/03,6.65,10/08,10.62
92,"615,958,712","8,713,822,249","115,824",18.10,12/17,8.00,4/28,12.34
93,"288,054,923","4,989,332,953","63,380",19.20,1/09,14.10,12/10,16.26
94,"219,912,009","2,775,001,015","48,911",14.90,1/04,10.30,5/04,12.25
95,"516,410,804","16,066,766,070","168,513",59.30,11/09,13.30,1/02,29.85
96,"499,450,827","23,685,179,562","195,975",62.90,4/12,21.30,12/21,46.27
97,"160,504,849","3,925,954,336","61,252",34.65,5/14,8.29,11/21,21.56
98,"342,081,739","9,724,445,171","118,637",48.00,12/15,9.75,1/21,22.24
99,"450,859,493","19,989,591,654","182,153",59.20,4/29,33.55,2/01,41.89
100,"125,028,639","4,281,391,825","54,228",43.70,1/20,16.20,11/24,29.83
101,"127,384,335","3,117,599,853","57,175",30.80,3/27,17.90,1/13,21.83
102,"219,882,449","7,096,956,260","93,474",40.85,12/31,19.95,1/02,30.89
程蔼基,ら戳,程基,ら戳
87.00, 86/6/26,5.20, 90/9/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
