"2356 璣穨笷 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"67,653,077","11,706,663,971","20,816",190.00,11/27,90.50,11/13,158.00
86,"2,515,935,471","482,576,065,364","1,038,116",428.00,5/12,111.00,10/30,213.69
87,"3,334,053,133","432,071,091,010","1,284,115",206.00,2/20,80.50,6/12,133.96
88,"3,020,737,813","303,052,000,000","1,266,193",128.00,1/08,70.00,8/06,95.68
89,"2,739,346,767","178,649,977,155","1,007,093",102.00,1/13,28.60,11/20,61.57
90,"3,634,399,252","108,531,383,593","895,731",46.60,3/28,14.10,9/19,28.18
91,"3,116,525,454","88,530,261,495","750,637",35.90,1/28,19.10,10/07,26.68
92,"2,154,676,442","47,128,821,230","474,898",25.30,7/08,18.90,5/02,21.32
93,"1,769,165,056","35,723,358,824","377,919",24.40,4/22,14.65,12/02,18.97
94,"2,408,202,037","41,303,230,304","497,553",23.45,12/29,13.00,4/21,15.84
95,"2,639,641,985","59,321,464,482","569,332",29.05,12/21,17.10,3/24,21.61
96,"2,142,324,551","49,638,139,424","499,198",29.60,1/15,16.55,12/18,22.99
97,"1,821,216,762","27,726,576,417","439,562",20.30,5/22,7.70,11/20,15.88
98,"3,297,172,617","56,265,402,027","812,271",21.20,6/02,8.55,1/21,16.75
99,"1,299,380,133","22,945,754,898","410,861",20.60,1/19,15.30,9/03,17.18
100,"967,033,080","12,843,692,557","318,881",17.45,1/28,9.50,11/24,13.51
101,"1,133,142,109","12,403,297,847","381,308",14.65,3/16,8.60,7/26,10.99
102,"4,219,310,081","90,653,762,978","1,244,804",29.45,10/09,10.75,3/22,18.39
程蔼基,ら戳,程基,ら戳
428.00, 86/5/12,7.70, 97/11/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
