"2357 地河 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"34,927,604","10,021,889,303","17,813",338.00,12/04,115.50,11/14,243.45
86,"917,558,303","457,152,117,825","569,999",890.00,4/24,275.00,1/04,497.94
87,"1,678,979,921","664,643,877,147","1,041,262",780.00,2/24,208.00,10/06,439.42
88,"2,117,783,072","703,214,000,000","1,229,400",402.00,6/07,248.00,3/03,323.43
89,"2,118,268,993","569,859,678,672","1,210,223",426.00,4/06,94.50,12/28,254.75
90,"2,506,288,838","360,582,521,126","1,152,431",181.00,3/16,94.50,9/26,144.10
91,"2,272,304,138","252,913,132,932","940,933",187.00,2/18,58.50,12/20,110.73
92,"2,208,106,348","177,710,283,236","733,549",119.00,7/28,58.50,2/27,79.43
93,"2,091,016,490","163,136,241,034","651,801",90.50,3/03,65.00,8/13,77.59
94,"2,411,815,402","215,496,218,061","761,220",105.00,12/26,79.00,8/29,88.74
95,"3,384,178,394","284,460,552,450","1,108,179",110.00,1/12,67.50,6/09,83.99
96,"5,391,725,970","503,486,223,763","1,767,861",116.00,11/01,75.40,3/29,90.92
97,"5,300,201,427","365,288,871,437","1,823,614",101.00,5/02,32.05,11/21,73.60
98,"8,373,015,108","373,650,625,564","2,649,788",66.50,11/25,29.50,2/02,47.66
99,"2,425,666,329","218,874,548,447","1,007,435",289.50,12/10,49.00,5/17,168.97
100,"1,057,375,170","259,831,475,300","664,281",311.00,7/28,178.00,11/24,246.87
101,"1,078,544,176","308,057,288,272","697,238",342.00,12/14,212.00,1/02,287.28
102,"1,030,961,298","291,492,454,496","678,569",382.00,3/05,204.00,10/15,288.64
程蔼基,ら戳,程基,ら戳
890.00, 86/4/24,29.50, 98/2/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
