"2375 醇腳 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
87,"60,728,053","3,284,765,417","21,390",60.00,9/28,44.50,9/01,54.07
88,"1,466,540,612","36,758,069,220","388,929",46.00,1/05,13.05,8/09,26.52
89,"1,651,190,458","44,533,199,003","451,080",37.90,2/23,4.52,12/30,20.62
90,"1,427,137,782","19,868,173,910","343,014",20.00,4/25,4.65,1/02,12.37
91,"1,087,119,206","16,613,129,910","241,572",20.30,4/08,8.40,9/30,12.89
92,"949,510,295","12,346,075,332","201,556",17.00,6/20,8.80,4/29,11.61
93,"800,527,529","10,431,177,109","171,323",16.30,4/26,7.30,11/02,11.05
94,"475,904,617","3,747,377,115","95,695",9.73,4/04,4.35,10/20,7.54
95,"1,167,363,857","9,036,685,494","228,401",9.80,1/03,5.71,6/21,7.11
96,"1,204,867,580","11,301,699,582","226,871",12.40,7/24,5.35,12/21,8.65
97,"531,107,720","2,833,850,128","96,474",7.72,5/16,2.04,11/21,4.92
98,"909,145,311","3,887,961,561","146,189",5.44,5/27,2.20,1/21,4.07
99,"1,368,388,170","10,020,319,745","279,295",10.40,4/27,4.40,2/08,7.04
100,"178,906,347","1,344,588,864","71,064",10.10,2/09,3.40,11/24,6.58
101,"85,682,929","403,466,374","23,342",5.98,3/21,3.59,11/22,4.27
102,"299,253,914","2,502,135,028","82,632",13.80,11/22,3.86,1/02,7.56
程蔼基,ら戳,程基,ら戳
60.00, 87/9/28,2.04, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
