"2377 稬琍 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
87,"105,912,132","15,320,641,346","55,173",159.00,11/11,121.50,10/31,146.67
88,"927,014,250","158,903,000,000","463,624",270.00,6/24,87.00,2/03,156.08
89,"1,188,112,682","178,708,571,461","539,465",280.00,4/06,41.10,12/28,153.87
90,"3,215,935,481","323,723,611,079","1,178,559",170.00,12/26,38.60,1/02,93.62
91,"2,380,590,323","273,466,849,936","985,514",181.00,1/25,57.00,12/31,110.07
92,"1,834,372,594","124,108,955,622","606,360",89.50,7/28,49.00,12/22,63.06
93,"1,290,924,073","46,474,037,517","437,324",61.00,3/10,18.80,11/30,36.34
94,"2,119,415,211","48,324,607,773","554,770",28.40,7/13,16.30,10/28,21.44
95,"1,572,726,977","32,169,722,534","421,645",27.30,12/20,15.05,8/28,18.69
96,"2,611,539,515","76,270,410,171","748,204",37.50,8/21,21.00,3/07,27.42
97,"1,482,080,730","29,007,434,661","437,384",29.20,4/21,10.80,10/28,20.39
98,"3,298,558,932","66,377,649,124","864,245",26.55,6/02,14.20,3/03,19.78
99,"1,554,935,398","28,527,818,548","455,914",23.00,1/19,15.55,8/31,17.90
100,"773,306,580","11,875,007,560","218,914",18.45,1/07,10.60,11/24,14.34
101,"718,720,594","10,149,348,029","197,683",16.40,3/05,12.30,10/29,13.96
102,"717,763,264","13,084,665,747","241,226",25.00,12/19,13.45,4/16,16.95
程蔼基,ら戳,程基,ら戳
280.00, 89/4/06,10.60, 100/11/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
