"2392 タ碤 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
88,"109,384,922","11,952,799,646","60,350",136.50,11/26,52.00,9/27,106.45
89,"675,642,459","70,955,455,475","316,003",163.00,2/17,64.00,10/19,104.20
90,"887,742,239","71,796,206,702","360,083",123.00,12/28,44.00,9/24,77.53
91,"1,181,835,961","130,542,292,819","520,359",172.00,1/22,61.00,12/31,102.41
92,"767,548,628","53,032,934,698","288,480",81.00,7/15,51.50,3/11,66.49
93,"670,016,083","40,666,136,681","239,775",72.00,4/26,40.60,7/22,60.17
94,"1,357,992,349","125,868,746,315","559,032",115.00,7/14,62.00,1/05,89.43
95,"1,785,306,203","217,967,960,233","850,655",155.00,6/01,101.00,3/08,119.26
96,"1,385,744,312","146,024,931,617","689,689",145.00,1/18,59.30,12/21,98.45
97,"1,039,836,733","59,349,286,250","526,798",73.60,1/02,27.60,11/19,57.93
98,"1,953,471,982","108,848,366,699","916,753",75.80,12/31,31.50,1/21,55.06
99,"836,755,995","51,774,545,709","450,713",75.50,1/04,46.60,5/27,59.86
100,"1,565,047,616","110,114,852,188","846,593",91.00,7/29,52.00,12/19,66.76
101,"1,306,563,567","85,531,277,454","729,364",76.70,3/16,52.30,7/25,64.05
102,"632,000,097","37,445,165,559","370,275",64.70,7/25,54.00,3/05,58.95
程蔼基,ら戳,程基,ら戳
172.00, 91/1/22,27.60, 97/11/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
