"2393 货 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
88,"76,725,117","2,646,746,947","25,546",37.60,11/05,28.80,11/24,33.33
89,"1,156,611,070","62,559,008,797","418,368",92.00,4/11,14.40,12/27,52.82
90,"1,797,146,778","42,015,935,129","506,769",35.80,3/13,9.20,9/19,20.58
91,"2,716,267,900","86,812,501,194","766,202",44.20,12/09,18.30,1/17,31.60
92,"2,032,687,010","85,336,369,751","596,013",67.50,11/18,29.70,3/11,42.39
93,"1,445,828,327","69,824,565,969","452,237",76.50,2/04,29.50,10/27,46.92
94,"2,159,750,118","103,068,565,403","625,400",77.50,12/30,30.00,1/13,44.97
95,"1,919,896,443","168,937,691,430","773,805",106.00,5/12,70.50,6/20,87.24
96,"1,556,296,724","197,394,504,035","694,188",161.50,8/01,92.70,1/03,126.50
97,"1,462,942,570","125,141,395,687","681,488",131.50,5/19,32.70,11/21,84.52
98,"1,623,125,692","128,060,896,884","738,941",122.00,12/11,41.10,1/09,82.44
99,"1,230,352,532","112,001,004,840","600,895",120.00,1/04,79.80,6/09,90.34
100,"886,005,818","60,304,805,348","462,080",90.80,3/08,45.30,11/24,68.60
101,"1,284,520,111","59,323,484,070","614,631",70.40,2/22,30.00,11/19,49.76
102,"1,133,970,767","56,297,316,778","565,719",70.20,12/31,36.10,1/08,50.09
程蔼基,ら戳,程基,ら戳
161.50, 96/8/01,9.20, 90/9/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
