"2404 簙 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"202,217,581","10,658,769,952","97,482",80.50,4/10,19.80,12/28,46.40
90,"418,502,173","12,108,260,087","142,565",39.10,3/19,15.90,9/21,25.38
91,"650,016,713","21,416,150,755","198,147",45.00,4/09,25.10,10/08,32.24
92,"656,993,719","23,977,246,438","184,816",47.70,12/12,24.10,4/28,33.42
93,"687,972,798","28,350,244,859","188,815",53.50,4/19,27.60,11/02,38.57
94,"656,657,827","21,121,784,057","193,987",38.70,7/26,22.05,10/27,30.73
95,"358,263,269","8,672,423,536","98,497",28.45,1/06,20.20,9/15,23.77
96,"409,647,831","11,901,239,729","126,479",34.50,6/26,23.50,3/05,28.44
97,"143,514,571","3,562,388,473","48,167",30.25,4/23,10.30,12/24,22.45
98,"427,197,451","9,050,099,827","123,175",29.30,12/15,10.50,2/02,16.15
99,"1,468,491,983","56,164,805,340","565,849",52.10,9/07,25.30,1/07,35.92
100,"382,885,914","14,787,679,855","177,679",46.20,1/24,23.50,12/20,35.98
101,"245,704,973","7,007,396,849","114,445",35.00,3/27,22.90,11/22,26.91
102,"333,793,146","10,232,967,209","152,675",38.00,12/16,24.10,2/06,29.85
程蔼基,ら戳,程基,ら戳
80.50, 89/4/10,10.30, 97/12/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
