"2406 瓣河 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"280,886,337","12,504,312,941","122,127",117.00,5/10,9.65,12/27,40.16
90,"2,352,225,083","57,686,855,691","567,003",38.40,3/22,9.90,9/24,21.53
91,"1,036,394,127","17,303,786,097","237,591",22.90,4/03,8.10,12/20,13.36
92,"1,988,684,768","31,667,812,204","364,226",20.60,11/04,5.90,5/02,13.52
93,"2,002,119,492","39,384,288,168","406,937",28.30,4/19,10.30,12/01,16.11
94,"819,362,154","7,278,210,331","155,960",12.25,1/03,4.80,10/20,8.17
95,"618,206,761","3,964,765,276","107,756",8.49,12/20,4.60,9/14,5.62
96,"1,911,293,782","22,143,458,885","309,587",17.30,7/30,5.92,3/01,9.91
97,"865,470,209","7,121,605,973","163,717",12.35,5/22,1.65,11/21,6.24
98,"1,234,101,057","22,208,909,890","269,550",37.00,12/10,2.27,1/21,11.66
99,"2,018,568,222","87,208,697,187","765,184",55.70,9/14,25.90,2/08,41.92
100,"1,070,932,718","40,206,872,292","425,957",59.50,2/21,12.80,11/24,34.89
101,"1,144,129,413","26,940,841,778","430,961",31.00,2/23,14.80,11/01,22.19
102,"981,584,817","23,482,643,877","343,516",34.30,12/31,16.50,8/22,21.86
程蔼基,ら戳,程基,ら戳
117.00, 89/5/10,1.65, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
