"2413 吏 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"379,823,932","33,992,348,861","152,528",136.00,9/27,55.50,11/23,84.49
90,"904,936,885","52,874,839,047","328,577",102.00,2/16,21.10,10/08,60.84
91,"564,105,335","20,013,427,135","190,067",53.50,3/22,16.50,10/14,30.62
92,"368,524,568","7,516,878,269","101,830",26.00,7/09,14.50,5/02,18.56
93,"257,138,595","4,492,438,776","68,575",22.90,3/01,10.65,12/01,15.65
94,"164,543,481","1,776,023,802","41,414",12.80,3/11,7.62,10/20,10.05
95,"596,573,314","9,327,825,729","147,435",23.95,12/18,9.20,1/24,14.28
96,"587,177,114","15,635,334,316","186,763",33.95,7/12,16.60,12/18,25.10
97,"138,653,277","1,550,889,694","48,588",19.45,1/02,6.22,9/18,12.10
98,"347,504,436","4,463,213,055","91,078",16.90,12/31,7.40,3/03,11.81
99,"405,029,779","7,588,031,847","127,101",25.00,4/29,13.00,2/08,17.52
100,"142,897,155","2,407,208,524","45,901",20.15,2/15,6.80,12/19,13.43
101,"43,137,728","357,571,526","15,126",10.30,3/15,6.00,11/01,7.94
102,"143,621,055","1,306,281,326","40,867",10.35,5/08,6.88,1/09,8.46
程蔼基,ら戳,程基,ら戳
136.00, 89/9/27,6.00, 101/11/01
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
