"2423 ㏕絥 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"12,204,765","216,812,339","5,064",30.20,9/11,11.60,12/30,17.44
90,"496,126,450","13,216,469,382","171,764",42.30,4/26,11.30,1/02,23.59
91,"186,497,359","4,438,170,040","60,921",31.50,3/13,14.85,8/06,20.30
92,"227,216,063","4,566,735,324","74,104",28.30,7/28,13.30,4/01,18.17
93,"83,034,920","1,858,511,120","25,062",25.90,2/27,15.80,7/22,20.00
94,"35,800,003","638,909,740","11,465",20.90,4/01,13.40,10/26,16.37
95,"71,202,972","1,270,234,014","22,283",20.70,12/25,14.70,7/19,16.94
96,"209,452,853","7,056,177,272","73,620",45.30,7/09,19.50,1/08,30.30
97,"32,081,946","715,519,430","14,499",29.50,5/05,10.75,11/21,20.46
98,"61,951,963","1,435,625,469","23,925",31.85,12/29,12.00,2/27,16.52
99,"99,951,912","2,549,352,507","41,269",30.80,1/04,19.05,5/26,23.75
100,"48,726,525","1,141,359,933","23,343",26.80,5/17,18.20,8/09,22.27
101,"20,903,734","436,498,409","10,965",24.15,3/26,16.60,11/27,19.22
102,"14,062,338","249,163,940","7,264",18.80,6/19,16.70,8/08,17.61
程蔼基,ら戳,程基,ら戳
45.30, 96/7/09,10.75, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
