"2424 明地 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"32,247,075","459,392,503","11,569",24.80,9/13,7.30,12/28,13.46
90,"441,004,534","6,631,150,643","125,856",22.90,3/28,7.55,9/24,13.31
91,"569,887,118","12,596,872,854","165,768",29.70,4/16,8.05,10/08,16.97
92,"590,648,638","8,651,835,278","140,232",19.30,12/24,9.05,5/05,12.93
93,"723,668,804","10,784,575,683","180,089",20.70,2/10,7.95,9/22,13.51
94,"338,805,720","2,865,916,578","80,638",11.35,3/10,4.00,11/03,7.43
95,"232,243,270","1,437,439,344","53,710",8.45,1/03,3.89,9/15,5.47
96,"186,567,889","1,441,917,120","53,120",10.50,4/09,3.95,12/18,6.86
97,"47,319,632","234,402,015","15,028",11.10,12/16,3.20,7/22,5.44
98,"23,096,179","258,115,895","9,693",16.20,12/31,7.67,2/27,10.23
99,"75,227,362","1,391,359,772","30,749",24.35,8/23,11.10,2/05,16.34
100,"20,459,670","312,330,110","7,967",22.15,4/15,12.55,9/06,15.74
101,"11,413,948","245,147,555","5,650",29.50,10/17,12.65,8/03,18.37
102,"9,188,252","306,000,960","6,384",43.70,10/17,24.75,2/26,32.53
程蔼基,ら戳,程基,ら戳
43.70, 102/10/17,3.20, 97/7/22
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
