"2425 ┯币 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"57,159,574","891,321,041","16,879",33.20,9/11,8.85,12/19,15.66
90,"1,253,082,418","26,461,726,524","367,570",32.20,4/24,9.00,1/03,19.30
91,"835,650,268","21,153,813,803","238,291",37.80,2/20,9.00,12/24,18.89
92,"403,445,642","4,519,688,220","91,624",13.80,6/20,8.00,4/04,9.84
93,"462,844,304","3,842,785,918","91,181",12.75,4/22,3.76,10/04,7.46
94,"285,765,963","1,534,837,648","52,615",7.90,7/13,3.64,10/28,4.66
95,"350,619,502","5,983,814,597","91,010",30.00,12/05,3.91,2/24,10.66
96,"352,670,365","6,551,429,694","124,163",26.50,1/02,5.81,12/21,15.51
97,"54,711,937","305,076,539","18,786",8.61,3/10,1.78,10/27,4.81
98,"240,470,904","2,838,504,204","73,400",24.80,12/31,2.50,2/10,9.13
99,"309,252,812","5,749,535,753","115,269",26.50,1/04,9.55,11/09,16.11
100,"156,631,574","1,442,267,634","45,281",16.20,12/30,5.39,10/20,8.34
101,"103,475,031","2,918,496,119","44,453",48.65,11/20,13.60,1/06,33.38
102,"36,259,572","1,641,426,669","22,424",52.00,9/11,38.00,1/31,43.60
程蔼基,ら戳,程基,ら戳
52.00, 102/9/11,1.78, 97/10/27
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
