"2434 参婪 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"83,027,310","3,320,537,272","34,012",75.50,9/11,16.50,12/30,36.25
90,"430,957,527","11,426,192,554","142,276",42.30,3/27,9.00,9/24,22.55
91,"269,424,786","6,259,842,006","84,379",29.90,3/12,11.80,8/06,17.81
92,"136,087,388","2,115,804,856","39,618",19.10,9/09,10.60,5/02,14.02
93,"60,909,428","917,333,466","17,437",17.50,3/01,10.10,12/01,13.05
94,"82,170,819","1,046,738,055","20,959",14.85,6/29,10.15,4/21,11.67
95,"125,267,413","1,904,770,213","33,255",19.85,12/15,12.10,2/23,14.57
96,"573,380,486","27,113,184,767","250,969",82.40,7/12,16.50,1/11,39.95
97,"543,829,435","17,062,058,660","238,401",54.00,1/17,9.01,11/21,26.51
98,"527,773,435","9,385,524,749","187,791",26.00,11/26,10.50,1/21,15.89
99,"348,539,548","7,243,365,628","134,077",24.90,8/25,15.95,2/06,19.62
100,"93,208,199","1,324,717,823","38,652",19.45,1/19,5.90,12/19,12.08
101,"50,381,512","380,928,029","19,586",10.70,2/10,4.41,11/08,6.60
102,"64,634,945","425,738,756","22,552",7.87,5/08,5.16,8/15,6.05
程蔼基,ら戳,程基,ら戳
82.40, 96/7/12,4.41, 101/11/08
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
