"2440 び濒 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"29,349,523","591,136,371","9,987",29.80,11/10,13.50,12/30,19.07
90,"1,050,889,194","15,787,598,961","201,282",27.10,3/30,8.80,10/08,17.22
91,"1,514,672,539","27,246,939,728","266,826",27.70,4/03,9.05,10/14,16.38
92,"869,562,409","9,644,335,947","138,622",14.05,6/20,8.50,11/04,10.27
93,"1,241,674,317","11,339,731,506","188,006",14.80,2/24,3.63,12/29,6.67
94,"514,214,906","1,899,187,853","69,562",4.94,3/11,2.53,10/05,3.47
95,"216,075,742","878,247,916","34,353",7.45,12/14,2.62,9/18,3.70
96,"480,581,661","5,609,818,579","112,934",17.40,11/01,5.60,1/12,10.12
97,"79,306,607","687,066,502","24,506",12.00,6/03,4.33,10/28,7.83
98,"153,242,365","1,377,843,370","39,704",14.55,12/30,3.54,2/03,6.58
99,"184,552,851","2,129,819,582","46,610",14.10,1/04,8.00,11/03,10.92
100,"59,405,003","436,080,474","14,635",9.32,1/27,5.61,12/29,7.16
101,"36,352,274","216,586,449","10,213",7.41,12/22,4.12,8/13,5.64
102,"40,936,602","341,836,103","12,346",11.40,11/14,6.25,3/05,7.81
程蔼基,ら戳,程基,ら戳
29.80, 89/11/10,2.53, 94/10/05
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
