"2444 ね Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"95,166","7,651,824",83,100.50,12/08,66.00,12/30,80.67
90,"360,285,013","24,437,821,225","121,802",116.00,4/19,33.30,10/09,71.56
91,"397,016,280","20,537,005,154","163,674",88.00,1/02,23.50,9/09,48.89
92,"409,299,560","6,906,322,899","116,860",29.70,1/14,11.25,9/10,16.88
93,"597,128,035","9,994,023,545","160,264",27.40,3/05,6.05,11/02,13.76
94,"585,838,323","6,531,116,278","125,453",14.60,7/13,6.70,1/25,9.91
95,"335,929,472","4,008,031,615","78,188",19.30,12/28,5.80,8/29,9.32
96,"697,784,990","16,387,814,015","212,542",34.50,7/26,12.15,12/24,21.66
97,"110,657,926","1,451,035,719","45,227",18.40,6/05,4.65,11/21,10.67
98,"268,148,418","3,287,066,850","81,934",16.80,12/22,4.65,1/20,10.44
99,"358,077,370","5,106,478,721","113,946",18.20,7/23,10.00,2/09,13.09
100,"119,639,445","1,034,463,298","40,785",12.85,1/04,4.79,8/09,8.24
101,"97,211,268","748,696,883","31,051",9.50,3/05,5.60,11/22,7.23
102,"108,666,758","770,989,265","33,275",8.54,11/05,5.73,8/28,6.64
程蔼基,ら戳,程基,ら戳
116.00, 90/4/19,4.65, 98/1/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
