"2449 ㄊじ筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"522,800,758","8,739,838,508","133,066",61.00,5/09,6.35,10/08,16.61
91,"2,350,739,309","52,143,821,731","529,240",36.10,4/03,12.50,10/14,20.48
92,"2,189,379,987","51,532,000,635","441,215",37.00,12/03,12.15,5/02,20.64
93,"4,056,777,054","125,178,603,006","924,938",49.90,4/12,20.50,12/28,31.74
94,"3,750,173,863","96,203,014,859","816,546",36.40,12/30,16.80,1/20,24.80
95,"4,813,427,123","141,097,323,045","1,162,939",37.35,5/22,22.40,8/04,27.99
96,"3,384,311,978","81,810,848,735","787,812",29.80,6/06,12.40,12/21,23.88
97,"2,080,744,777","28,391,504,609","484,442",18.15,5/20,5.70,11/21,12.90
98,"5,064,638,922","58,187,253,438","949,665",15.50,12/14,6.00,1/21,11.11
99,"2,195,610,478","32,624,099,342","485,785",17.65,1/19,12.20,5/26,14.45
100,"2,210,141,734","33,986,577,527","504,889",19.55,1/20,8.15,12/20,13.85
101,"1,746,513,520","25,130,938,822","446,985",18.60,12/28,9.81,1/16,14.05
102,"1,262,484,507","25,524,710,196","469,430",23.95,5/22,17.10,1/14,20.37
程蔼基,ら戳,程基,ら戳
61.00, 90/5/09,5.70, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
