"2451 承ǎ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"114,539,202","6,363,167,390","54,062",96.50,5/04,26.00,10/18,51.80
91,"549,997,997","49,517,760,246","260,169",125.50,3/13,59.00,10/14,88.88
92,"499,380,569","37,319,381,105","210,312",93.50,7/08,53.00,4/02,71.97
93,"439,595,383","35,590,107,409","204,923",107.00,4/06,61.00,10/27,76.39
94,"757,454,226","60,300,344,399","321,021",97.00,3/14,53.90,10/28,75.21
95,"760,995,625","58,187,183,074","363,471",98.10,9/11,49.40,3/27,71.36
96,"1,001,260,702","122,452,213,073","462,090",180.00,7/24,84.00,1/08,117.68
97,"549,282,597","47,403,286,418","303,497",126.50,5/13,36.10,11/21,80.27
98,"843,607,728","80,401,770,175","447,729",122.50,9/02,57.60,1/13,92.63
99,"368,968,614","34,706,751,162","223,802",124.00,1/04,69.10,11/02,91.17
100,"174,527,414","13,454,661,423","117,026",90.30,1/24,57.10,9/26,75.53
101,"177,755,090","14,456,617,872","117,920",90.90,2/08,72.20,11/01,79.99
102,"170,354,685","15,768,380,864","119,162",105.50,4/23,79.50,1/14,90.81
程蔼基,ら戳,程基,ら戳
180.00, 96/7/24,26.00, 90/10/18
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
