"2454 羛祇 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"323,985,262","119,717,337,116","175,796",588.00,12/31,219.00,9/19,356.30
91,"1,301,270,877","560,753,295,427","817,946",783.00,4/02,240.00,10/14,473.39
92,"1,145,135,194","383,800,077,765","689,336",434.00,7/28,252.00,2/07,324.87
93,"823,505,259","234,148,634,164","493,728",396.00,3/02,187.00,8/04,276.29
94,"2,043,690,048","594,469,696,656","1,047,910",403.50,12/30,171.00,1/27,277.87
95,"1,991,855,614","678,307,818,142","1,158,092",418.00,5/11,259.00,8/02,332.34
96,"1,994,998,440","975,273,899,008","1,229,504",656.00,10/30,325.50,3/05,477.25
97,"2,598,804,504","857,639,443,717","1,629,466",444.50,4/15,177.00,12/08,327.67
98,"2,304,901,460","917,650,037,041","1,528,899",558.00,12/31,228.00,1/05,412.88
99,"1,929,097,410","893,514,800,911","1,322,521",590.00,1/18,372.00,10/19,477.82
100,"2,546,790,400","788,355,608,502","1,781,280",424.00,1/05,221.00,8/09,315.56
101,"2,526,278,783","748,631,483,048","1,647,159",351.00,12/13,235.00,4/30,294.00
102,"1,726,651,747","624,297,541,088","1,084,237",448.50,11/05,295.00,1/07,366.02
程蔼基,ら戳,程基,ら戳
783.00, 91/4/02,171.00, 94/1/27
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
