"2455 穝 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"68,178,631","1,947,301,610","32,114",51.50,2/20,11.50,12/30,25.31
92,"287,542,743","5,041,642,544","91,196",26.40,3/05,9.85,9/10,16.27
93,"258,337,509","4,514,551,010","70,695",26.60,4/19,6.65,12/01,14.65
94,"130,436,746","1,378,970,355","34,673",18.80,12/15,6.80,5/26,9.81
95,"272,728,406","9,673,987,989","96,548",55.70,11/23,13.90,2/03,34.11
96,"353,140,941","21,069,752,484","161,881",80.50,7/30,36.70,1/24,54.44
97,"274,658,278","9,942,150,886","121,882",59.40,5/21,10.00,11/21,35.45
98,"583,807,448","29,526,858,032","219,826",92.30,12/07,10.70,1/21,44.13
99,"546,617,589","37,502,129,642","264,455",91.60,3/23,50.50,8/12,69.72
100,"964,409,109","57,332,670,715","438,041",84.80,3/04,27.30,12/09,57.16
101,"1,068,415,478","48,498,543,429","514,952",57.30,3/19,29.00,10/29,43.50
102,"545,142,081","18,751,416,364","260,824",40.30,5/31,26.25,11/13,32.89
程蔼基,ら戳,程基,ら戳
92.30, 98/12/07,6.65, 93/12/01
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
