"2456 穝 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"171,473,797","6,021,854,613","46,274",47.00,12/13,21.50,10/09,33.04
91,"552,707,269","16,504,020,356","158,586",59.00,4/04,13.50,9/30,29.89
92,"558,679,178","10,469,881,559","131,747",23.60,12/04,12.10,5/02,16.68
93,"342,915,979","7,530,046,958","88,575",26.90,4/13,11.80,11/30,18.10
94,"395,486,458","5,932,361,090","90,133",18.30,7/22,11.30,1/27,14.36
95,"611,495,110","11,729,427,227","161,714",22.80,1/10,15.30,6/09,18.07
96,"618,352,654","16,239,072,047","175,826",35.10,6/28,15.40,12/18,25.23
97,"74,826,608","1,049,594,615","25,834",18.45,1/02,6.00,11/21,12.88
98,"629,487,531","9,753,547,193","150,527",24.60,12/29,6.55,1/21,12.07
99,"989,809,858","29,332,936,970","359,954",35.60,5/13,21.15,1/08,29.19
100,"300,721,938","6,708,082,350","111,369",30.65,1/07,10.90,11/24,20.42
101,"236,284,752","3,842,982,647","78,206",18.90,9/28,12.25,1/02,15.66
102,"457,602,608","10,784,243,139","167,242",30.75,12/24,16.00,4/08,20.03
程蔼基,ら戳,程基,ら戳
59.00, 91/4/04,6.00, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
