"2465 腞籓 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"333,996,135","13,763,588,870","106,805",52.50,12/26,23.80,9/24,35.79
91,"535,893,951","19,672,475,581","193,408",52.00,1/03,14.10,10/08,30.99
92,"373,776,562","6,071,505,678","111,193",19.50,3/14,12.20,11/03,15.13
93,"530,354,169","9,874,960,421","129,632",23.50,3/08,11.85,7/20,16.62
94,"936,113,409","14,398,328,852","225,185",20.50,7/15,7.54,11/08,14.43
95,"493,020,389","4,658,807,255","115,142",12.10,1/10,4.61,9/15,8.43
96,"1,049,130,952","19,513,460,132","294,032",29.00,7/26,8.81,3/14,16.05
97,"151,898,326","1,568,201,283","57,509",15.35,1/02,2.36,11/21,8.78
98,"310,843,281","2,322,129,007","88,186",12.80,12/30,2.90,2/02,6.04
99,"644,827,132","9,311,143,924","221,935",19.90,1/19,10.30,10/20,13.35
100,"121,007,083","993,916,411","44,835",11.70,1/04,3.67,10/04,7.55
101,"44,996,394","255,885,752","18,237",7.38,3/14,3.81,11/21,5.29
102,"140,888,664","892,314,276","42,707",11.50,12/31,4.18,3/20,5.32
程蔼基,ら戳,程基,ら戳
52.50, 90/12/26,2.36, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
