"2466 玜﹁筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"75,308,904","1,342,313,886","27,229",23.80,12/13,10.50,9/24,16.01
91,"327,417,592","6,585,739,344","99,486",29.50,3/25,9.10,12/19,16.75
92,"156,588,274","1,552,605,292","38,056",11.90,6/23,7.00,5/05,9.15
93,"308,465,537","3,191,629,271","60,972",13.20,3/15,7.60,11/30,9.72
94,"182,381,881","1,689,906,942","35,053",15.45,12/30,6.35,1/25,8.60
95,"159,163,554","3,762,172,741","46,388",33.60,12/01,14.50,1/02,24.15
96,"52,173,814","2,136,709,475","20,780",47.90,3/20,32.05,1/05,41.01
97,"32,561,259","1,167,154,478","10,719",42.90,4/17,27.55,12/09,36.17
98,"31,136,925","940,806,779","15,059",36.80,10/21,25.20,1/16,29.75
99,"48,700,246","1,565,784,930","20,455",39.55,1/13,27.65,5/07,31.34
100,"34,184,233","965,831,453","14,090",30.10,1/24,25.20,9/06,28.20
101,"23,225,718","577,435,843","11,409",27.00,1/04,23.75,7/31,24.87
102,"38,212,436","1,222,775,082","23,165",39.80,12/13,24.70,1/03,30.88
程蔼基,ら戳,程基,ら戳
47.90, 96/3/20,6.35, 94/1/25
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
