"2474 Θ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"96,286,616","4,552,819,443","36,762",71.00,12/13,24.00,9/19,43.03
91,"597,941,873","48,490,420,762","244,097",165.00,4/17,42.00,12/25,79.25
92,"544,786,328","44,785,688,743","219,999",124.50,12/05,45.80,1/28,78.23
93,"303,144,537","33,895,256,853","134,276",149.00,4/20,77.50,7/22,109.98
94,"1,513,430,730","317,513,885,162","724,474",330.50,8/08,94.00,2/15,185.32
95,"1,664,836,857","498,789,300,387","977,117",399.50,8/17,215.00,2/13,302.56
96,"1,586,866,598","422,649,303,453","943,372",382.00,1/23,156.00,12/18,267.00
97,"2,781,198,343","274,803,898,799","1,392,133",191.50,1/02,45.50,11/21,96.49
98,"3,462,415,640","276,641,861,341","1,624,899",100.50,5/25,54.30,1/21,79.79
99,"2,024,791,214","164,631,207,344","973,913",113.00,12/13,60.00,2/06,78.35
100,"3,889,317,037","676,309,738,191","2,072,585",277.50,7/28,104.00,1/06,170.10
101,"4,055,468,950","689,980,817,941","2,293,305",237.00,3/05,117.50,10/29,169.94
102,"2,280,552,696","345,399,373,265","1,194,502",201.00,12/11,123.00,1/24,153.41
程蔼基,ら戳,程基,ら戳
399.50, 95/8/17,24.00, 90/9/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
