"2476 筪不 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"188,091,267","6,077,338,324","55,325",41.50,12/13,21.20,10/16,28.53
91,"296,755,285","11,432,283,670","98,256",54.00,4/04,18.60,12/30,33.00
92,"296,120,549","6,708,829,021","88,858",29.50,7/10,15.30,5/02,20.76
93,"317,336,109","8,433,050,182","92,132",32.20,2/24,17.70,8/04,23.63
94,"422,800,026","10,468,154,194","114,834",29.10,12/26,18.30,1/12,23.27
95,"674,838,674","24,469,522,373","246,245",49.20,12/29,23.00,3/08,31.98
96,"710,744,206","43,157,593,745","303,088",82.20,6/12,32.30,12/18,57.64
97,"195,899,442","5,645,069,147","87,109",40.90,5/20,12.55,12/31,26.63
98,"669,048,729","13,972,429,132","208,652",29.55,12/16,12.50,1/21,19.49
99,"440,559,016","11,863,236,590","145,670",33.50,4/29,21.00,2/06,25.30
100,"116,610,463","2,333,981,430","44,081",24.60,2/08,14.00,12/19,19.97
101,"123,499,696","2,133,089,986","35,122",19.25,3/05,14.00,6/04,16.47
102,"261,133,385","4,866,574,493","93,198",21.20,12/23,16.05,6/25,17.82
程蔼基,ら戳,程基,ら戳
82.20, 96/6/12,12.50, 98/1/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
