"2484 地 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"259,943,092","7,212,621,244","90,921",37.90,12/13,18.70,10/16,26.34
91,"491,677,423","13,871,938,147","173,005",41.90,4/15,15.10,8/05,24.48
92,"410,763,727","9,450,110,804","121,858",29.60,7/04,12.60,3/11,20.82
93,"291,694,968","6,890,706,942","95,612",31.80,3/10,13.70,11/02,19.66
94,"730,236,352","13,691,453,154","197,824",23.85,12/29,13.40,8/29,16.98
95,"626,073,309","13,024,323,383","183,677",24.60,4/21,16.10,6/21,19.55
96,"932,218,520","25,450,796,158","308,172",33.80,6/12,17.70,12/21,26.26
97,"247,872,255","4,378,829,009","85,207",24.70,4/25,7.36,11/21,16.13
98,"471,065,983","6,108,564,853","133,072",16.60,12/17,8.50,1/21,12.12
99,"758,255,269","13,531,987,405","220,639",22.55,9/16,12.25,2/06,15.97
100,"308,192,189","5,101,393,227","100,673",21.15,3/02,8.15,12/20,13.79
101,"207,378,502","2,289,851,613","63,029",14.00,3/03,7.70,10/29,9.75
102,"524,256,529","6,906,870,586","153,493",16.70,9/26,8.72,1/28,12.07
程蔼基,ら戳,程基,ら戳
41.90, 91/4/15,7.36, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
