"2485 划 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"283,716,221","9,654,184,505","93,073",57.00,12/31,17.00,9/19,29.60
91,"702,605,288","25,585,631,983","251,385",61.00,1/25,20.60,8/06,36.35
92,"1,119,945,380","41,257,552,634","364,945",47.00,8/18,26.80,5/20,36.95
93,"719,581,856","22,161,559,599","244,147",44.90,1/08,18.90,11/02,30.79
94,"1,266,897,954","37,510,831,333","370,763",36.95,7/15,19.80,1/14,28.55
95,"1,755,939,526","67,527,359,655","611,034",53.50,4/25,24.70,1/23,37.46
96,"1,421,851,184","136,160,758,632","602,401",168.00,9/12,43.35,1/02,96.72
97,"2,399,692,364","160,475,004,471","1,095,386",122.00,5/16,20.10,11/21,71.95
98,"2,449,599,885","131,951,133,112","1,033,375",76.20,5/13,33.40,1/17,55.72
99,"1,323,584,296","76,582,934,485","568,184",68.00,2/04,46.50,5/25,55.19
100,"745,571,421","33,106,824,533","345,406",60.40,1/13,29.25,10/04,42.47
101,"435,850,620","15,026,059,472","207,776",41.90,2/09,22.15,10/29,30.69
102,"665,017,407","20,117,071,182","297,353",35.80,9/23,23.55,4/16,27.84
程蔼基,ら戳,程基,ら戳
168.00, 96/9/12,17.00, 90/9/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
