"2491 不 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"751,309,390","16,765,237,589","211,549",29.60,12/31,14.50,9/21,20.74
91,"3,451,306,041","79,265,098,761","742,768",33.90,3/26,14.00,7/03,21.99
92,"4,422,968,966","64,519,341,841","785,974",20.30,2/18,9.95,5/22,14.03
93,"2,531,402,532","24,175,719,959","379,869",14.90,3/11,0.80,11/11,7.05
94,"230,064,931","378,772,928","10,243",2.81,7/08,0.79,10/31,1.41
95,"325,690,570","1,222,984,035","36,974",7.27,12/22,0.82,5/12,2.17
96,"1,949,026,455","33,759,411,459","420,347",31.50,9/17,4.19,3/02,12.96
97,"694,820,233","10,000,100,084","185,920",20.75,7/29,7.02,9/10,13.25
98,"117,092,604","421,129,909","21,153",6.58,11/20,2.05,7/07,3.54
99,"58,925,831","220,700,747","15,855",7.85,11/29,2.00,10/29,3.78
100,"51,226,947","357,042,208","16,961",10.10,4/29,2.68,12/27,6.22
101,"23,686,478","91,643,123","10,819",5.64,2/13,1.50,9/20,3.18
102,"4,916,968","12,124,754","3,646",3.72,5/27,1.79,12/13,2.26
程蔼基,ら戳,程基,ら戳
33.90, 91/3/26,0.79, 94/10/31
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
