"2499 狥ī Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"470,469,718","20,598,323,059","180,170",70.00,3/18,33.10,9/05,46.35
92,"394,426,253","13,511,713,716","143,781",40.00,1/15,25.00,5/05,33.08
93,"479,723,682","17,594,751,675","156,697",46.30,4/16,28.10,7/21,34.24
94,"557,547,715","19,973,475,384","173,979",41.50,3/10,26.00,10/28,34.13
95,"706,880,752","23,244,469,513","222,526",42.70,5/22,21.40,9/15,31.13
96,"1,271,364,698","49,556,507,784","440,612",49.70,7/30,25.75,12/18,37.15
97,"359,469,862","8,247,666,034","142,338",33.70,5/20,6.84,11/21,20.16
98,"2,058,005,742","88,722,623,799","731,290",65.40,12/28,8.80,1/21,35.97
99,"1,185,599,352","65,670,064,597","500,834",67.50,4/06,44.00,11/16,54.24
100,"1,091,468,280","46,696,633,448","455,625",59.80,3/08,20.20,11/24,38.50
101,"996,968,273","30,684,404,910","411,344",39.40,3/12,23.00,11/01,29.57
102,"638,053,601","17,275,338,205","256,150",30.50,3/11,19.70,11/13,26.01
程蔼基,ら戳,程基,ら戳
70.00, 91/3/18,6.84, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
