"2511 び Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"175,224,866","16,057,888,378","102,944",112.50,5/07,54.50,12/24,85.67
81,"264,617,330","14,756,546,066","112,638",73.50,1/22,36.00,12/29,54.75
82,"428,790,833","15,495,813,291","126,434",49.50,4/07,24.50,10/06,34.55
83,"452,182,371","13,339,806,193","105,973",36.20,1/11,20.70,10/11,27.89
84,"1,399,476,863","29,788,976,646","242,390",28.10,1/19,14.90,8/11,21.00
85,"2,241,232,334","55,423,497,843","361,036",30.70,4/15,19.00,2/07,24.28
86,"2,219,371,225","64,458,189,620","422,388",36.50,3/19,18.60,12/01,26.34
87,"560,882,478","9,590,999,908","120,812",22.90,3/13,11.10,9/03,16.47
88,"520,001,433","5,349,016,774","90,079",13.10,1/08,6.00,12/28,9.44
89,"526,438,630","3,803,812,562","82,631",11.50,2/21,2.68,11/18,5.78
90,"260,464,597","887,690,858","36,748",4.85,2/21,2.08,11/30,3.00
91,"461,916,238","2,015,330,869","55,057",6.20,4/29,2.57,1/02,3.65
92,"484,553,387","2,431,207,063","60,899",7.25,11/07,2.55,5/05,4.33
93,"1,335,716,674","12,765,689,868","199,549",13.00,3/16,6.70,5/18,8.84
94,"412,535,084","3,368,600,988","67,451",9.95,1/03,5.92,11/07,7.72
95,"1,265,153,915","19,646,309,152","213,209",24.50,11/09,7.60,1/02,14.53
96,"600,101,317","13,274,812,994","109,376",26.25,7/24,16.00,12/14,21.39
97,"3,183,091,433","59,072,490,944","652,830",32.40,4/18,3.61,11/21,15.50
98,"2,807,958,999","38,773,532,692","508,542",20.65,5/26,4.02,3/04,12.20
99,"2,450,754,025","48,444,555,758","615,348",27.00,11/05,11.90,2/06,17.88
100,"1,932,241,849","44,511,582,017","622,080",31.50,8/01,13.00,12/20,22.43
101,"1,393,051,881","29,082,375,477","489,647",25.30,3/02,15.55,1/02,20.64
102,"1,087,640,041","21,847,628,565","336,499",22.45,4/11,16.50,9/27,19.75
程蔼基,ら戳,程基,ら戳
112.50, 80/5/07,2.08, 90/11/30
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
