"2527 Щ縖 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"211,280,758","6,949,167,159","48,784",53.00,3/17,23.00,11/29,34.28
85,"299,848,013","8,569,288,573","64,096",36.20,5/15,21.00,3/13,27.88
86,"553,856,617","21,250,132,645","120,039",47.50,3/13,20.10,10/30,32.95
87,"234,236,439","6,563,386,557","62,610",40.70,2/20,12.00,12/29,23.38
88,"84,997,716","1,179,989,725","20,728",18.50,4/27,9.60,2/04,13.00
89,"55,265,729","621,021,116","11,424",17.00,2/21,4.65,11/20,9.38
90,"30,159,281","119,380,384","5,919",7.80,2/21,2.65,11/29,4.54
91,"127,464,775","533,429,977","17,443",7.45,4/25,1.90,9/09,3.32
92,"243,719,005","966,628,069","33,793",5.70,12/30,1.77,5/22,3.47
93,"245,403,666","1,630,178,339","42,057",9.00,3/03,3.40,8/19,5.43
94,"89,131,164","337,903,452","17,453",6.05,1/03,2.48,11/08,3.67
95,"301,836,519","4,361,667,847","64,874",23.75,12/18,3.46,1/23,8.87
96,"324,467,013","5,962,716,774","92,095",21.60,3/03,11.35,12/21,16.56
97,"174,785,957","2,631,809,179","45,128",22.80,4/14,3.21,11/21,12.23
98,"703,124,526","10,967,010,385","178,516",21.85,10/06,3.46,1/21,13.16
99,"615,410,220","12,038,238,410","183,515",23.90,1/14,15.70,5/21,18.35
100,"422,028,428","8,533,462,283","139,035",26.45,1/13,9.35,12/20,17.45
101,"157,245,025","2,046,239,982","56,416",14.95,3/05,9.91,6/04,12.55
102,"111,043,899","1,701,311,062","36,129",19.70,11/04,12.60,1/29,14.51
程蔼基,ら戳,程基,ら戳
53.00, 84/3/17,1.77, 92/5/22
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
