"2535 笷猋 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"446,604,236","13,276,123,398","91,982",40.90,7/22,24.50,8/21,28.95
86,"1,965,709,635","74,639,933,830","407,718",57.50,3/21,27.60,10/30,37.31
87,"978,694,321","27,060,041,639","216,771",38.80,2/25,14.75,12/23,26.36
88,"584,136,293","8,188,247,648","104,014",18.60,4/20,7.45,11/15,12.31
89,"200,252,025","1,967,325,322","32,625",13.90,2/21,4.88,11/27,8.10
90,"58,534,679","384,881,534","11,078",8.70,2/20,4.59,9/14,6.03
91,"527,226,149","3,728,627,612","72,545",11.40,5/10,3.70,10/09,5.80
92,"810,839,063","5,229,290,871","107,732",8.30,10/22,4.14,5/22,6.22
93,"2,448,992,353","28,662,121,608","391,125",15.50,10/05,7.00,8/18,10.88
94,"531,180,278","5,064,276,051","113,332",12.95,1/03,6.00,10/28,8.57
95,"897,711,031","10,592,749,857","187,188",15.80,12/05,7.20,1/23,9.88
96,"570,773,185","8,212,560,044","118,952",18.00,7/20,11.20,3/19,13.65
97,"1,137,632,747","22,802,665,363","319,040",30.30,5/26,8.75,10/28,17.25
98,"944,099,050","19,164,856,332","263,794",28.00,5/27,9.78,3/03,19.27
99,"330,350,901","6,359,436,753","117,562",24.25,1/11,16.05,5/25,18.35
100,"293,953,581","5,554,862,420","83,752",21.40,1/06,14.75,8/09,17.93
101,"126,124,376","2,386,561,846","54,086",20.50,3/23,16.40,1/16,18.57
102,"222,224,946","5,860,121,722","96,936",31.10,6/26,19.95,1/17,25.91
程蔼基,ら戳,程基,ら戳
57.50, 86/3/21,3.70, 91/10/09
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
