"2536 Щ炊 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"242,064,676","10,693,421,979","50,568",57.50,11/01,27.00,4/12,39.81
86,"550,754,560","29,705,103,971","127,048",81.50,3/08,31.50,10/30,55.00
87,"813,667,907","29,828,782,225","159,068",56.50,3/26,15.50,12/21,34.23
88,"682,853,306","9,515,869,759","100,032",18.80,4/27,8.10,12/18,12.85
89,"454,900,003","5,081,973,648","65,246",15.50,2/21,3.46,11/18,9.10
90,"49,802,459","228,642,001","11,725",7.25,2/21,2.25,10/19,3.81
91,"322,703,522","2,012,518,201","45,653",9.00,6/21,2.75,1/02,4.73
92,"979,611,396","12,044,012,232","152,980",21.40,11/11,4.20,1/02,10.86
93,"904,085,552","21,556,405,232","227,846",32.50,3/15,16.20,8/18,23.36
94,"652,082,427","14,517,111,921","164,229",27.40,1/03,15.30,10/26,22.32
95,"364,201,186","11,139,704,696","113,789",43.90,12/06,20.60,1/03,31.23
96,"316,036,378","10,762,762,420","111,214",48.00,7/18,21.20,12/21,33.95
97,"1,178,443,616","42,024,577,820","407,445",66.70,4/14,13.40,10/28,37.14
98,"1,097,960,965","43,245,517,757","415,539",55.10,10/08,18.50,3/03,38.98
99,"324,734,091","14,306,232,870","152,454",54.90,1/05,35.60,7/14,43.02
100,"428,383,157","14,696,536,146","177,623",49.80,2/08,18.25,12/20,33.35
101,"380,169,805","10,328,272,880","156,322",31.80,4/02,19.70,1/02,26.74
102,"180,547,660","5,589,976,384","81,496",34.20,4/26,28.75,7/04,30.66
程蔼基,ら戳,程基,ら戳
81.50, 86/3/08,2.25, 90/10/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
