"2612 い Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
83,"28,980,571","1,491,841,827","12,534",69.00,10/22,46.50,12/01,50.16
84,"315,350,121","11,830,733,217","62,351",66.50,5/31,21.00,8/07,41.16
85,"638,856,775","21,567,578,300","159,683",53.00,8/12,20.00,3/13,28.32
86,"627,431,008","19,590,185,095","154,105",41.90,4/15,19.80,10/17,28.84
87,"861,430,508","24,736,093,161","178,702",37.80,4/07,19.60,9/01,27.60
88,"320,222,106","5,854,757,477","74,259",23.80,1/08,10.50,11/08,15.93
89,"152,649,783","1,868,266,616","36,445",16.40,2/22,6.35,11/22,10.52
90,"157,219,739","1,126,918,293","31,510",10.45,3/16,3.90,10/09,6.73
91,"125,083,537","946,901,764","25,927",9.00,4/25,5.70,10/14,7.12
92,"209,747,713","2,142,693,460","44,462",13.50,12/30,5.75,4/28,8.54
93,"762,244,381","11,770,754,053","166,445",18.90,3/19,9.95,5/18,13.48
94,"524,615,999","11,278,412,679","129,019",28.60,3/09,15.20,10/11,20.04
95,"506,231,935","14,274,564,766","159,500",41.65,12/05,16.10,2/03,26.48
96,"491,364,722","43,168,171,285","224,063",158.00,10/11,38.00,1/17,76.14
97,"928,325,317","76,993,139,330","486,275",136.00,5/16,38.55,10/30,81.95
98,"723,914,933","57,583,151,889","391,392",105.50,6/02,51.00,1/17,80.98
99,"228,989,920","17,890,655,181","125,573",93.00,1/05,65.20,11/24,74.58
100,"91,403,894","4,792,370,270","56,828",68.40,1/03,39.30,10/05,51.99
101,"61,786,660","2,441,258,920","40,389",49.80,2/14,32.80,9/07,38.57
102,"84,255,832","3,240,242,635","49,797",44.45,9/25,30.40,7/09,36.25
程蔼基,ら戳,程基,ら戳
158.00, 96/10/11,3.90, 90/10/09
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
