"2614 狥此 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"86,965,547","2,048,152,801","24,098",25.30,9/26,22.20,11/10,23.26
85,"590,958,654","14,710,808,015","120,966",27.60,6/24,21.40,2/28,23.94
86,"1,190,020,575","31,303,881,542","225,096",33.80,3/18,20.70,10/17,24.59
87,"2,723,698,178","70,365,288,527","488,352",38.90,7/08,12.25,12/31,23.94
88,"2,545,907,456","32,247,974,981","408,709",16.80,5/07,5.50,11/09,12.14
89,"3,908,673,042","90,097,204,697","767,285",43.90,2/22,3.88,12/28,14.96
90,"1,370,096,529","11,203,685,952","259,642",14.45,2/21,3.90,10/08,6.93
91,"1,279,200,631","8,947,916,835","201,852",9.85,3/27,4.01,10/07,6.00
92,"2,070,418,580","17,772,319,911","311,521",18.50,12/31,3.59,5/05,7.31
93,"5,109,838,904","97,647,979,649","954,649",27.70,3/19,13.70,5/18,18.44
94,"1,836,015,790","22,997,980,440","355,542",16.90,1/04,7.52,10/21,12.47
95,"3,149,741,714","34,897,648,541","498,640",12.85,12/05,8.80,2/24,10.53
96,"4,445,886,035","44,363,274,477","639,188",13.90,11/12,6.43,8/17,9.34
97,"3,555,154,195","33,580,078,027","551,271",13.80,5/20,3.16,10/28,8.34
98,"3,137,984,285","19,144,037,097","444,380",7.75,10/23,3.22,2/02,5.93
99,"2,394,688,074","19,717,988,365","390,428",9.49,4/12,6.80,2/06,7.99
100,"866,646,470","5,290,475,046","156,203",7.75,1/04,3.60,12/20,5.51
101,"653,065,594","2,521,207,884","121,745",4.84,2/15,2.75,6/04,3.66
102,"2,276,189,247","20,161,844,524","442,878",16.65,12/23,3.52,5/08,5.80
程蔼基,ら戳,程基,ら戳
43.90, 89/2/22,2.75, 101/6/04
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
