"2707 垂地 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
87,"201,760,770","6,323,079,357","70,773",46.90,3/10,15.40,12/30,28.15
88,"135,120,869","2,537,269,346","29,946",22.10,5/04,14.50,7/19,17.91
89,"313,798,793","7,387,698,414","27,164",25.70,2/22,15.20,1/04,19.36
90,"64,990,302","1,446,169,530","8,808",25.00,1/02,13.65,9/20,16.22
91,"75,023,640","1,487,690,769","17,659",31.50,11/26,14.30,1/17,19.33
92,"69,005,805","2,223,500,849","22,690",41.00,3/14,22.90,5/02,31.39
93,"28,261,497","1,189,013,712","8,922",48.20,2/09,34.20,6/08,39.27
94,"139,593,625","7,699,320,123","40,782",66.80,12/19,37.70,4/21,49.11
95,"135,592,771","11,455,928,293","70,235",105.00,12/11,61.00,1/02,80.26
96,"21,096,104","5,322,426,513","15,915",414.50,2/05,97.60,1/05,312.87
97,"101,394,325","46,126,368,021","92,089",738.00,6/09,165.00,10/28,422.31
98,"119,493,564","46,644,773,543","103,578",534.00,5/19,253.00,3/03,392.29
99,"93,722,617","43,442,119,468","87,988",553.00,8/25,322.00,2/08,435.00
100,"65,460,049","31,955,977,497","63,077",594.00,6/02,352.50,12/19,476.95
101,"77,012,678","27,298,435,897","75,064",479.00,3/05,270.00,7/19,363.49
102,"47,778,317","16,649,348,498","48,643",405.00,7/23,309.00,4/16,347.83
程蔼基,ら戳,程基,ら戳
738.00, 97/6/09,13.65, 90/9/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
