"2801 彰銀 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"733,332,344","184,685,651,141","469,634",333.00,5/21,172.00,1/16,228.81
81,"285,893,022","39,504,563,727","165,290",246.00,1/29,73.00,9/18,122.47
82,"1,274,700,065","175,207,996,683","547,555",188.00,12/31,76.00,1/08,123.70
83,"2,344,804,102","438,856,168,629","1,009,394",226.00,1/10,145.00,4/18,177.96
84,"760,372,253","88,021,571,933","334,021",196.00,1/05,84.50,8/15,118.08
85,"1,451,117,610","211,403,535,530","535,446",163.00,9/17,93.00,1/05,140.31
86,"2,682,925,675","322,060,281,953","950,673",195.00,3/19,85.00,12/02,124.84
87,"4,479,966,396","327,190,715,240","1,376,307",106.00,2/09,41.10,12/30,70.31
88,"4,175,870,163","184,029,000,000","1,130,382",54.50,4/16,30.70,12/20,41.88
89,"4,528,829,111","119,601,920,395","970,847",44.10,2/10,12.50,11/21,24.71
90,"4,806,424,493","77,951,997,967","849,935",23.10,2/02,11.20,9/19,15.40
91,"7,569,698,117","125,227,214,563","1,110,512",21.80,4/23,11.20,9/30,15.35
92,"8,166,857,302","136,008,141,731","1,143,687",19.70,1/24,13.30,5/22,15.89
93,"17,482,697,310","355,199,214,895","2,303,348",25.10,3/05,16.20,8/05,19.61
94,"6,469,074,584","121,063,074,178","954,797",22.40,1/04,14.65,11/08,17.93
95,"5,788,035,291","120,051,952,127","834,854",24.20,6/20,15.75,1/03,20.27
96,"4,958,741,306","100,628,965,821","660,424",24.00,1/03,16.25,12/21,20.51
97,"7,308,071,634","144,238,018,577","1,035,598",26.70,4/17,10.35,10/28,18.21
98,"6,299,685,831","86,466,063,282","967,563",16.70,6/02,9.46,2/24,13.68
99,"8,193,547,943","154,854,084,294","1,327,781",26.45,12/31,12.30,5/27,17.11
100,"6,976,843,539","153,033,537,911","1,430,741",26.50,1/03,15.00,12/20,21.56
101,"2,960,216,576","48,729,974,372","653,724",18.75,2/10,14.40,11/01,16.04
102,"2,778,748,000","47,524,926,128","600,422",18.70,11/25,15.50,8/22,17.08
近年最高價,日期,近年最低價,日期
333.00, 80/5/21,9.46, 98/2/24
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
