"2823 い关 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"230,602,495","17,785,437,868","85,572",112.00,2/18,49.50,8/11,73.55
85,"938,613,947","64,079,404,803","310,529",87.00,4/29,47.60,3/12,62.34
86,"1,866,709,388","115,796,674,379","563,860",73.50,7/07,45.90,10/20,59.42
87,"1,787,996,152","82,073,623,843","545,960",68.50,1/06,27.50,12/31,46.87
88,"1,527,460,860","39,351,519,531","389,886",32.70,4/19,15.00,11/26,23.06
89,"1,304,794,781","27,013,615,912","317,676",32.60,2/18,6.20,11/21,17.22
90,"1,151,962,585","9,513,311,985","190,405",12.60,12/18,4.50,7/19,7.56
91,"2,319,949,494","24,529,369,255","339,743",13.80,4/23,5.50,10/08,8.96
92,"5,537,689,887","62,660,528,737","690,477",14.95,12/11,7.65,5/02,10.39
93,"6,188,370,916","126,561,733,021","1,143,723",26.40,3/05,14.25,1/02,19.80
94,"1,877,150,931","28,639,097,973","367,756",21.80,1/04,9.11,10/28,14.51
95,"1,747,526,301","24,985,132,123","316,803",18.60,12/07,9.45,3/24,14.13
96,"2,117,014,940","38,284,409,439","438,131",23.00,10/11,14.15,4/04,17.62
97,"1,629,383,581","29,742,674,283","410,350",27.65,4/28,9.60,11/21,18.83
98,"3,353,230,492","58,111,992,060","731,286",27.60,10/15,9.80,3/06,17.77
99,"3,195,545,501","83,405,038,848","858,217",33.00,8/04,18.45,2/06,25.43
100,"7,200,910,391","238,447,363,748","2,059,802",46.70,8/04,20.90,12/20,32.29
101,"4,665,629,551","127,242,460,194","1,376,151",31.55,2/04,22.00,10/29,26.97
102,"3,457,451,691","100,764,288,350","1,029,785",32.30,5/22,25.80,1/07,29.24
程蔼基,ら戳,程基,ら戳
112.00, 84/2/18,4.50, 90/7/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
