"2833 关玂 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
86,"65,087,114","6,477,515,522","31,133",140.00,12/23,47.00,10/13,99.71
87,"249,479,007","26,015,722,150","94,951",136.00,1/03,53.00,12/31,98.14
88,"315,491,511","21,343,912,778","132,223",89.50,5/20,39.00,12/17,66.66
89,"469,047,631","22,953,614,482","192,321",63.50,1/28,24.70,11/21,43.80
90,"312,428,066","10,224,297,933","102,255",43.90,12/17,22.80,7/17,29.30
91,"335,009,868","13,068,675,527","124,386",45.60,1/09,22.00,10/11,33.24
92,"623,257,194","26,529,836,004","186,629",57.00,10/29,26.00,1/02,35.81
93,"611,973,337","36,757,246,521","185,818",71.50,3/01,48.00,7/22,56.93
94,"151,371,103","7,982,186,300","61,083",60.30,6/27,41.00,12/08,50.33
95,"146,648,717","6,434,815,080","65,260",50.80,5/05,36.30,9/14,41.74
96,"376,047,152","21,310,408,838","158,748",73.50,7/18,41.45,3/06,51.57
97,"288,276,558","12,156,834,178","135,611",60.30,1/21,14.10,11/21,36.99
98,"1,206,400,065","29,547,475,890","370,217",38.95,12/31,12.05,3/03,23.90
99,"851,993,182","31,346,357,089","336,659",44.75,1/21,28.40,11/29,34.71
100,"656,296,959","17,403,573,033","242,821",35.65,1/03,14.95,12/20,26.14
101,"540,698,928","10,324,533,231","198,510",21.60,3/14,15.80,6/04,18.44
102,"812,624,372","19,584,532,402","236,122",28.30,12/31,19.35,1/02,23.48
程蔼基,ら戳,程基,ら戳
140.00, 86/12/23,12.05, 98/3/03
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
