"2838 羛ü蝗 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
87,"54,352,199","737,955,878","10,685",17.20,6/29,10.05,12/30,13.08
88,"299,072,783","3,438,632,160","54,870",14.20,5/15,6.90,12/18,9.92
89,"980,993,389","9,012,277,547","150,754",13.35,2/11,4.43,11/20,8.05
90,"262,423,201","1,665,324,534","50,287",8.50,3/27,4.50,9/24,5.98
91,"691,137,231","4,680,231,966","90,463",8.55,4/25,4.84,9/25,6.03
92,"1,788,946,712","15,900,408,676","235,185",11.30,1/24,6.50,4/28,8.54
93,"1,116,490,108","12,755,956,025","154,829",14.00,3/05,8.90,8/18,10.83
94,"657,657,775","7,152,838,793","97,129",12.75,1/20,8.66,9/22,10.18
95,"210,569,525","1,803,853,073","44,790",9.43,1/06,7.26,3/14,8.44
96,"550,600,755","4,959,176,460","98,111",11.15,7/19,6.71,12/21,8.23
97,"225,452,146","1,395,751,575","55,156",8.40,3/24,3.76,10/27,6.10
98,"150,199,103","884,026,553","45,857",6.69,5/05,5.05,1/17,5.85
99,"158,399,651","1,292,936,345","43,887",11.45,12/31,5.21,2/09,7.46
100,"284,828,774","3,114,703,680","85,908",12.50,1/04,9.06,12/19,10.58
101,"237,517,503","2,473,200,024","47,621",11.15,7/30,8.90,6/04,10.24
102,"430,618,210","4,820,970,435","95,644",11.95,2/04,10.30,8/30,11.06
程蔼基,ら戳,程基,ら戳
17.20, 87/6/29,3.76, 97/10/27
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
