"2847 大眾銀 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
88,"550,580,752","4,842,121,286","92,337",11.00,4/21,5.95,11/19,7.94
89,"808,483,654","5,780,737,721","106,334",11.30,2/11,3.50,11/23,6.46
90,"727,497,794","3,735,344,942","83,702",6.20,2/20,3.90,7/24,4.99
91,"2,350,419,144","14,163,826,944","219,435",8.00,4/30,3.86,10/08,5.28
92,"3,658,794,760","32,543,410,693","445,772",11.05,11/04,5.95,1/02,8.91
93,"3,805,792,805","46,544,147,902","450,979",15.50,2/17,9.40,7/26,11.66
94,"1,484,885,848","15,032,476,490","168,793",12.35,1/04,8.57,4/18,9.86
95,"1,388,946,999","12,297,298,360","135,069",11.20,10/03,6.14,3/14,8.83
96,"1,914,081,040","21,569,680,776","203,642",13.80,7/12,8.15,5/30,10.65
97,"691,801,184","6,158,669,026","120,907",10.80,1/21,4.39,12/31,8.26
98,"912,186,093","4,883,065,522","151,143",7.75,10/15,3.09,3/03,5.48
99,"1,280,984,328","10,606,551,384","237,396",12.70,12/31,5.51,2/06,7.43
100,"1,154,085,824","12,092,874,962","270,611",13.40,1/04,6.46,12/20,10.09
101,"2,074,631,423","21,685,562,864","326,271",13.50,3/23,6.95,1/06,9.86
102,"952,814,685","10,013,739,052","203,080",12.10,3/12,9.17,8/28,10.28
近年最高價,日期,近年最低價,日期
15.50, 93/2/17,3.09, 98/3/03
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
