"2856 じ碔靡 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"177,691,664","1,817,665,662","22,832",11.00,11/18,9.10,10/08,10.12
92,"1,141,284,084","12,671,496,831","144,185",13.10,1/24,9.00,4/30,10.75
93,"2,628,035,351","38,521,143,865","338,012",19.90,3/05,10.10,8/18,13.49
94,"1,020,668,396","13,063,300,195","131,276",13.90,7/29,11.05,10/24,12.53
95,"956,652,558","12,364,828,754","120,527",14.15,5/05,11.50,9/14,12.62
96,"1,593,356,189","24,281,847,592","213,005",19.30,7/18,10.95,12/18,14.52
97,"1,283,148,063","16,154,623,030","241,926",18.50,4/14,4.66,10/28,11.51
98,"2,281,914,304","27,066,117,762","358,192",14.60,10/15,5.90,3/03,10.89
99,"1,533,594,611","19,778,769,920","263,699",14.95,1/08,10.00,6/09,12.38
100,"883,212,197","11,078,530,347","147,215",13.85,1/03,8.80,12/20,11.85
101,"247,532,453","2,374,372,084","66,661",11.05,3/22,8.11,11/22,9.35
102,"343,837,854","3,395,465,458","78,456",10.75,5/31,8.99,4/18,9.66
程蔼基,ら戳,程基,ら戳
19.90, 93/3/05,4.66, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
