"2889 瓣布 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"1,340,916,658","10,210,877,528","169,235",9.45,4/23,5.00,10/01,6.77
92,"5,062,227,992","43,395,930,322","569,087",10.10,10/28,6.20,4/01,8.28
93,"4,725,433,955","57,045,344,633","536,903",14.25,4/21,9.65,1/02,12.03
94,"1,630,712,964","20,980,491,680","202,433",14.65,4/08,10.50,9/29,12.50
95,"980,549,699","10,191,908,447","138,722",11.50,5/05,9.00,9/15,10.23
96,"1,163,073,374","12,441,970,090","179,144",12.45,7/18,9.58,3/14,10.41
97,"1,576,329,333","15,510,030,224","243,089",13.65,4/22,4.62,10/27,8.97
98,"3,576,407,507","33,287,316,810","497,527",11.25,9/10,4.90,1/09,8.81
99,"2,213,629,060","23,398,857,034","313,180",13.25,12/31,9.10,5/26,10.06
100,"2,413,331,379","34,568,346,014","432,383",17.60,1/26,9.09,12/19,12.97
101,"578,178,917","5,606,655,754","147,509",10.75,3/20,8.51,11/21,9.61
102,"364,250,012","3,668,554,371","162,338",10.75,4/15,9.35,8/28,10.03
程蔼基,ら戳,程基,ら戳
17.60, 100/1/26,4.62, 97/10/27
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
