"2892 材 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"8,513,378,636","188,710,825,522","1,026,815",29.00,1/24,18.10,8/11,21.86
93,"11,498,012,726","300,180,564,570","1,369,979",29.90,3/02,20.50,8/09,25.48
94,"4,097,940,278","103,109,604,220","476,431",27.60,7/26,21.90,10/24,24.92
95,"2,973,284,129","70,905,630,944","410,283",26.35,5/05,20.90,9/15,23.49
96,"3,462,721,783","82,950,714,130","500,757",27.00,11/01,20.25,8/17,23.55
97,"11,034,205,014","292,379,211,371","1,742,750",38.80,5/19,12.35,10/28,25.75
98,"11,564,887,660","208,525,410,293","1,850,504",22.40,6/01,12.20,2/24,18.29
99,"6,057,216,651","123,010,515,877","1,077,874",27.35,12/31,15.80,5/25,19.06
100,"8,939,917,339","203,422,521,541","1,759,394",27.55,1/19,16.10,12/20,22.70
101,"3,744,308,106","66,745,398,970","820,206",19.70,2/10,16.20,11/16,17.62
102,"2,831,277,744","51,118,006,837","604,324",19.40,2/20,16.80,8/12,17.98
程蔼基,ら戳,程基,ら戳
38.80, 97/5/19,12.20, 98/2/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
