"2904 匯僑 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"772,728,876","25,718,177,064","245,034",41.90,5/01,17.70,1/16,30.58
81,"277,643,311","6,748,962,664","95,032",32.60,1/27,13.30,9/18,22.23
82,"429,536,089","8,946,235,808","121,072",25.10,4/26,15.00,1/08,19.63
83,"472,511,677","10,034,189,689","105,446",26.00,1/10,15.50,10/11,19.92
84,"83,361,271","1,254,421,225","25,927",20.60,1/05,9.80,8/14,14.66
85,"205,383,473","3,649,735,259","48,055",25.00,12/31,11.70,2/07,16.35
86,"220,734,092","6,172,175,261","58,313",37.00,3/12,19.60,10/28,26.70
87,"553,264,000","14,098,361,031","114,900",30.40,5/15,19.90,6/12,24.22
88,"103,534,078","2,328,592,418","22,203",27.00,8/19,17.20,12/20,22.39
89,"80,784,160","1,358,411,082","22,345",24.20,2/11,5.85,12/21,13.00
90,"86,764,429","755,421,411","20,621",13.30,4/16,3.48,8/09,7.58
91,"102,259,374","1,087,178,000","25,643",15.60,2/21,4.20,10/09,8.98
92,"105,792,231","427,161,882","19,178",7.45,1/28,2.42,9/10,4.28
93,"140,498,158","733,959,912","25,073",7.20,2/10,2.93,9/22,4.48
94,"45,147,945","120,699,348","4,270",4.84,1/05,1.62,5/18,2.63
95,"35,302,968","64,306,040","1,936",2.93,12/12,1.26,4/20,1.92
96,"23,279,798","81,911,049","3,874",9.96,8/23,1.87,3/05,4.86
97,"13,367,752","108,443,845","5,275",10.95,5/16,3.97,11/25,7.18
98,"74,874,177","868,504,617","24,625",15.30,10/12,4.65,2/19,9.17
99,"158,705,276","2,299,193,627","48,215",17.45,1/19,11.80,2/06,13.77
100,"196,165,751","3,625,507,549","71,419",22.60,8/02,13.05,3/15,17.53
101,"139,721,818","3,843,105,742","66,280",32.60,7/04,18.15,1/02,26.76
102,"53,414,565","1,424,278,980","29,492",30.40,7/19,23.80,8/23,26.05
近年最高價,日期,近年最低價,日期
41.90, 80/5/01,1.26, 95/4/20
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
