"2915 柬 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"224,927,125","3,309,088,064","19,378",16.40,1/23,13.00,10/03,14.71
93,"859,063,352","10,945,751,521","118,017",15.20,12/31,11.35,10/06,12.76
94,"588,588,201","7,975,716,717","82,540",15.70,3/14,11.10,8/25,13.01
95,"1,856,863,821","32,332,545,407","321,557",23.95,12/06,10.35,3/22,14.88
96,"2,782,649,232","71,307,824,016","641,255",32.25,10/30,19.00,6/05,24.48
97,"1,163,888,095","29,427,016,595","329,142",34.20,4/24,12.45,11/07,24.32
98,"2,103,096,047","77,554,292,994","667,106",60.40,10/26,17.15,1/21,36.62
99,"1,541,015,724","116,540,875,959","668,390",108.50,8/09,46.15,2/06,81.47
100,"2,098,749,371","136,902,245,390","976,144",88.00,1/03,42.75,8/26,65.44
101,"1,354,576,959","81,267,754,897","677,575",75.90,10/18,43.30,6/04,58.99
102,"849,023,049","62,706,906,254","435,573",85.10,11/20,60.70,6/25,73.16
程蔼基,ら戳,程基,ら戳
108.50, 99/8/09,10.35, 95/3/22
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
