"3002 稼 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"65,574,277","2,366,419,228","31,952",59.50,2/01,15.80,10/08,28.69
92,"161,814,127","4,034,206,695","62,716",30.70,6/26,16.70,1/02,22.84
93,"60,312,195","1,548,840,448","20,678",29.90,2/16,13.95,8/18,21.09
94,"45,884,863","819,655,533","15,882",20.80,2/21,14.95,11/16,16.96
95,"187,530,946","4,700,619,150","61,334",32.00,5/12,17.70,1/02,24.06
96,"249,648,470","7,600,949,247","91,900",39.40,7/17,18.10,12/21,27.37
97,"66,884,809","1,190,517,053","26,215",23.45,5/21,9.45,12/30,15.94
98,"173,474,895","3,714,444,246","67,711",28.35,12/24,9.45,1/09,17.19
99,"98,737,520","2,421,114,944","42,098",28.15,4/01,16.05,11/09,21.35
100,"23,607,933","324,877,769","8,929",18.20,1/20,9.16,12/19,13.13
101,"22,851,327","251,972,260","9,205",12.70,3/13,9.21,1/16,10.83
102,"30,603,740","330,385,347","10,816",12.00,10/08,9.95,9/14,10.61
程蔼基,ら戳,程基,ら戳
59.50, 91/2/01,9.16, 100/12/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
