"3004 伦笷 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"369,921,300","8,643,716,604","103,611",42.10,2/27,14.85,8/15,23.43
92,"891,431,543","24,522,584,235","190,953",55.50,1/28,18.10,5/15,27.83
93,"673,981,329","17,527,984,269","184,437",39.00,2/20,1.84,10/26,21.41
94,"40,653,051","103,230,419","4,514",3.19,2/25,1.27,11/17,2.30
95,"17,149,403","32,718,959","2,152",2.36,12/29,1.41,11/15,1.83
96,"58,825,921","192,357,327","6,446",4.31,3/27,1.85,3/02,2.98
97,"10,451,109","25,613,814","1,420",14.10,10/28,1.36,9/08,3.15
98,"1,172,463","7,718,346",747,10.65,3/13,4.64,6/01,6.91
99,"3,194,232","51,472,983","2,118",22.80,11/02,6.50,1/27,15.04
100,"31,677,099","899,500,036","16,409",33.45,10/28,18.45,2/23,24.01
101,"69,287,548","2,985,657,185","38,022",61.40,3/27,26.60,1/02,42.94
102,"30,046,648","1,235,528,413","16,124",46.90,3/15,36.00,11/06,39.95
程蔼基,ら戳,程基,ら戳
61.40, 101/3/27,1.27, 94/11/17
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
